GeneID,Gene_name,logFC,adj.P.Val
TRINITY_DN30826_c0_g1,,-1.149323401,0.042936098
TRINITY_DN30834_c0_g1,,-1.601199735,0.00269796
TRINITY_DN30860_c0_g1,,-1.073481632,0.029977927
TRINITY_DN30886_c0_g1,egfl6,-1.046348869,0.049218813
TRINITY_DN30896_c0_g2,,-1.564305475,0.013275514
TRINITY_DN30948_c0_g1,,-1.340788586,0.001063405
TRINITY_DN30953_c0_g2,,-1.265274742,0.008626163
TRINITY_DN31061_c1_g1,,-1.401467829,0.028605161
TRINITY_DN31083_c3_g1,,-1.560910216,0.047626884
TRINITY_DN3112_c3_g1,,-1.351001085,0.002283094
TRINITY_DN31150_c0_g1,ATP11A ATPIH ATPIS KIAA1021,-3.207613612,0.003170105
TRINITY_DN31151_c0_g1,,-1.967305546,0.005244737
TRINITY_DN31168_c1_g3,,-1.664374752,0.017960982
TRINITY_DN31179_c0_g1,,-1.131931794,0.011329507
TRINITY_DN31186_c1_g2,,-1.193469723,0.042628889
TRINITY_DN31192_c0_g1,,-1.235270074,0.009730475
TRINITY_DN31196_c0_g1,,-1.916642334,0.009579827
TRINITY_DN31201_c0_g1,,-1.176143418,0.029220729
TRINITY_DN31232_c3_g1,,-3.217934534,0.032215537
TRINITY_DN31272_c0_g1,,-1.897458784,0.002942275
TRINITY_DN31272_c0_g2,,-2.419232643,0.007983978
TRINITY_DN31361_c1_g1,,-1.123572653,0.024330068
TRINITY_DN31386_c0_g1,,-1.530724605,0.03907557
TRINITY_DN31489_c0_g1,,-2.261829637,0.028042904
TRINITY_DN31543_c0_g1,,-1.092194113,0.040864369
TRINITY_DN31549_c0_g1,,-1.176298122,0.045615691
TRINITY_DN31550_c1_g3,PPFIA4 KIAA0897,-1.283706231,0.038792114
TRINITY_DN31556_c1_g2,cul3b,-1.012071723,0.015870544
TRINITY_DN31573_c0_g1,ANK1 ANK,-1.105874047,0.027613704
TRINITY_DN31599_c0_g1,,-1.499119798,0.004793985
TRINITY_DN3162_c1_g2,,-4.995048375,0.030275728
TRINITY_DN31665_c0_g1,,-1.088463041,0.009107918
TRINITY_DN31667_c0_g1,,-1.21532845,0.025702408
TRINITY_DN31686_c2_g1,,-1.175378569,0.002414834
TRINITY_DN31696_c0_g1,,-1.388661898,0.008244984
TRINITY_DN31758_c0_g1,,-1.197785174,0.000641681
TRINITY_DN31758_c1_g1,,-1.578866686,0.040446142
TRINITY_DN3176_c5_g1,,-2.812285615,0.01270454
TRINITY_DN3176_c7_g1,,-2.050137633,0.002307961
TRINITY_DN31785_c0_g3,,-1.619744408,0.034550834
TRINITY_DN31796_c2_g1,,-1.136917432,0.022543794
TRINITY_DN31804_c0_g1,,-1.182846728,0.011362474
TRINITY_DN31848_c0_g1,,-2.019800383,0.004127345
TRINITY_DN31857_c0_g1,Rab30 Rsb30,-1.764125602,0.002356964
TRINITY_DN31871_c1_g1,,-1.850275105,0.037593859
TRINITY_DN31880_c0_g1,,-2.030913541,0.004125603
TRINITY_DN31882_c0_g1,,-1.447159519,0.007461725
TRINITY_DN31886_c1_g1,,-1.476949178,0.011726417
TRINITY_DN31891_c1_g2,,-1.150813139,0.010221544
TRINITY_DN31922_c0_g1,0,-1.47927826,0.04193487
TRINITY_DN3193_c2_g1,,-1.605984465,0.000328891
TRINITY_DN31953_c0_g1,,-2.521096108,0.008243338
TRINITY_DN31956_c0_g1,,-1.561193746,0.026272187
TRINITY_DN31990_c0_g1,,-2.423675529,0.027633667
TRINITY_DN32021_c0_g1,,-1.672326958,0.03290174
TRINITY_DN32054_c0_g1,,-2.958781607,0.037257213
TRINITY_DN3206_c1_g1,,-1.231312104,0.004363181
TRINITY_DN32066_c1_g1,,-2.462953909,0.004495024
TRINITY_DN321_c0_g2,,-1.042106158,0.01534156
TRINITY_DN32103_c0_g1,,-1.115990542,0.044792249
TRINITY_DN32106_c0_g1,,-1.457186752,0.00687018
TRINITY_DN32153_c0_g1,mtbp,-2.351937665,0.028889239
TRINITY_DN32158_c0_g1,,-2.089342346,0.034414265
TRINITY_DN32178_c0_g1,CTCF,-2.334594104,0.008840228
TRINITY_DN32196_c0_g1,,-2.850328597,0.006391251
TRINITY_DN32266_c0_g1,,-1.983814202,0.01836384
TRINITY_DN32270_c0_g1,,-2.591491046,0.010687423
TRINITY_DN3228_c0_g1,,-4.198476153,0.000675755
TRINITY_DN32281_c0_g2,,-1.433419508,0.007893433
TRINITY_DN32289_c0_g1,,-1.198663433,0.049758663
TRINITY_DN32326_c0_g1,AICDA,-3.626811397,0.003920751
TRINITY_DN32357_c0_g1,PPP2R1B,-1.710807133,0.001971322
TRINITY_DN32366_c0_g1,,-3.361563257,0.001632227
TRINITY_DN32375_c0_g1,,-1.452784542,0.02475171
TRINITY_DN32387_c2_g1,,-2.490368746,0.000590522
TRINITY_DN32396_c1_g1,,-2.723656224,0.008040534
TRINITY_DN3243_c1_g5,ANK3,-1.592344552,0.00072048
TRINITY_DN32455_c0_g1,Ddx6 Hlr2 Rck,-1.973691012,0.029287184
TRINITY_DN3250_c0_g1,,-1.156450152,0.003201412
TRINITY_DN32503_c0_g1,MTX3,-1.77576312,0.0015198
TRINITY_DN3252_c6_g2,,-1.290480714,0.004763718
TRINITY_DN32525_c0_g1,,-3.266453566,0.008372307
TRINITY_DN32550_c0_g1,,-1.469306393,0.021022617
TRINITY_DN32599_c0_g1,,-1.361321158,0.006000624
TRINITY_DN3262_c1_g1,,-1.105650126,0.002716403
TRINITY_DN32681_c0_g1,,-2.278889447,0.008015881
TRINITY_DN32695_c0_g2,PROKR1 GPR73 PKR1,-1.131957318,0.002089619
TRINITY_DN32698_c0_g1,,-1.555376078,0.002739696
TRINITY_DN32698_c1_g1,Nefh Kiaa0845 Nfh,-2.121900917,0.01652543
TRINITY_DN32729_c1_g1,,-1.06042661,0.048503047
TRINITY_DN32731_c0_g2,,-2.042373303,0.027246255
TRINITY_DN32745_c1_g1,,-1.541986508,0.00056381
TRINITY_DN32750_c0_g1,,-1.081415813,0.004740429
TRINITY_DN32761_c0_g1,,-1.259299703,0.025081717
TRINITY_DN32762_c0_g1,,-1.652192196,0.015404347
TRINITY_DN3284_c0_g2,,-1.489084923,0.000896659
TRINITY_DN32861_c0_g1,Ncoa7,-1.050118359,0.001765745
TRINITY_DN32944_c0_g1,,-2.338821678,0.000250308
TRINITY_DN32957_c0_g1,,-2.439140643,0.008840395
TRINITY_DN32962_c0_g1,,-1.259640507,0.034153876
TRINITY_DN33025_c0_g1,,-1.592006176,0.023044856
TRINITY_DN33043_c0_g3,,-1.096690646,0.039002075
TRINITY_DN33077_c0_g1,METTL27 WBSCR27,-1.54505455,0.045136113
TRINITY_DN33141_c0_g1,,-1.554429864,0.017285496
TRINITY_DN33166_c0_g1,,-5.294521796,0.018663407
TRINITY_DN33203_c0_g1,PRP1,-1.451490555,0.004058913
TRINITY_DN33222_c1_g1,,-1.56567763,0.027633667
TRINITY_DN33256_c1_g1,,-1.195987052,0.01584635
TRINITY_DN33294_c0_g1,clz9,-1.569367701,0.002078987
TRINITY_DN33349_c1_g1,,-1.175278901,0.043903439
TRINITY_DN33358_c1_g1,YTHDF3,-1.756695745,0.009165391
TRINITY_DN33382_c0_g1,,-1.201482612,0.002467704
TRINITY_DN33444_c0_g1,,-1.013619109,0.025063037
TRINITY_DN33498_c0_g1,,-1.708819588,0.009329812
TRINITY_DN33501_c0_g1,,-3.054710152,0.009870441
TRINITY_DN33516_c0_g1,,-1.399048963,0.016479463
TRINITY_DN33518_c0_g1,,-2.214447264,0.010686146
TRINITY_DN33529_c0_g1,,-1.75345711,0.005456862
TRINITY_DN3354_c0_g1,Syncrip Hnrpq Ab2-339,-1.56981887,0.006237754
TRINITY_DN33541_c3_g1,,-2.287008962,0.00308267
TRINITY_DN33575_c0_g1,,-1.582436864,0.032637184
TRINITY_DN33579_c1_g1,,-1.24842279,0.046060221
TRINITY_DN33634_c0_g1,,-2.205728928,0.00648009
TRINITY_DN33681_c1_g2,,-1.781605132,0.001883356
TRINITY_DN33689_c1_g1,,-1.050427068,0.044964665
TRINITY_DN33735_c0_g1,,-1.344450195,0.002116615
TRINITY_DN33768_c0_g1,,-1.450092266,0.012507575
TRINITY_DN33790_c0_g1,,-1.097460444,0.044138507
TRINITY_DN33800_c0_g1,,-1.995701136,0.043268923
TRINITY_DN33800_c3_g1,,-2.337004883,0.034473845
TRINITY_DN33862_c0_g1,,-1.886335403,0.025207737
TRINITY_DN33889_c0_g1,,-1.887128664,0.016072093
TRINITY_DN33892_c0_g1,,-1.606728924,0.003700043
TRINITY_DN3390_c0_g2,,-1.45490788,0.005715544
TRINITY_DN33967_c0_g2,,-2.391330126,0.000635536
TRINITY_DN33986_c0_g1,ADAMTS2 NPI,-1.106923673,0.009535711
TRINITY_DN33996_c0_g1,,-1.472913441,0.002848059
TRINITY_DN33996_c0_g2,,-1.085283294,0.017799453
TRINITY_DN340_c7_g1,,-1.395265211,0.001201569
TRINITY_DN34033_c0_g1,,-1.081708516,0.043161602
TRINITY_DN34034_c0_g4,,-1.066910548,0.022020769
TRINITY_DN34041_c1_g1,,-1.619217372,0.003233867
TRINITY_DN34055_c0_g1,,-1.778796132,0.001514379
TRINITY_DN34085_c0_g2,TUBA3,-1.183621818,0.000236582
TRINITY_DN34133_c0_g2,,-2.311439679,0.005955574
TRINITY_DN34157_c1_g1,,-1.825520228,0.00239443
TRINITY_DN34210_c0_g1,,-1.302878402,0.041568079
TRINITY_DN34220_c1_g1,,-1.85644334,0.017362065
TRINITY_DN34249_c0_g1,,-1.51568277,0.020575987
TRINITY_DN3430_c1_g4,,-3.629923159,0.006505571
TRINITY_DN34315_c0_g1,,-1.481585901,0.030086007
TRINITY_DN34365_c0_g1,,-2.379132792,0.007377169
TRINITY_DN34370_c4_g1,,-1.762857739,0.003084378
TRINITY_DN34376_c0_g1,,-3.193050457,0.002829969
TRINITY_DN34399_c2_g1,,-1.791554867,0.007185538
TRINITY_DN34434_c0_g1,,-1.852201753,0.01315667
TRINITY_DN34466_c0_g1,,-2.832176932,0.013437552
TRINITY_DN3449_c1_g1,,-1.115301038,0.008906806
TRINITY_DN34496_c0_g2,,-1.357931495,0.000834449
TRINITY_DN34506_c0_g1,,-1.486763302,0.041503984
TRINITY_DN3452_c2_g1,,-1.272760146,0.00067941
TRINITY_DN34604_c0_g1,,-4.07007338,0.000374817
TRINITY_DN34635_c0_g1,,-4.810310618,0.000356568
TRINITY_DN34653_c0_g1,PTPRS,-3.234075332,0.000590522
TRINITY_DN34656_c0_g1,,-1.76148725,0.007981448
TRINITY_DN34670_c0_g1,,-3.034357026,0.009861255
TRINITY_DN34670_c0_g2,,-3.222856515,0.002336043
TRINITY_DN34670_c0_g3,,-4.302955003,0.001303737
TRINITY_DN34685_c0_g1,MYO1H,-1.269758866,0.001764915
TRINITY_DN34769_c0_g1,,-3.128056108,0.009058143
TRINITY_DN34785_c0_g1,,-1.814139418,0.038499667
TRINITY_DN34993_c1_g1,,-1.428936031,0.012878978
TRINITY_DN35014_c1_g1,,-1.155588849,0.011429219
TRINITY_DN35072_c0_g1,ADGRL3 KIAA0768 LEC3 LPHN3,-1.401318905,0.002629147
TRINITY_DN35073_c0_g1,,-1.390725405,0.029897712
TRINITY_DN35087_c0_g1,,-2.824774618,0.023888578
TRINITY_DN35098_c0_g1,,-1.749333198,0.016127861
TRINITY_DN35130_c0_g1,Ncstn,-2.413716983,0.030050155
TRINITY_DN35136_c0_g1,,-1.916537159,0.041856253
TRINITY_DN35148_c0_g2,,-1.939812788,0.002812848
TRINITY_DN35172_c0_g1,,-2.343031391,0.010045548
TRINITY_DN35173_c0_g1,,-2.057958241,0.002523511
TRINITY_DN35201_c0_g1,,-1.906092973,0.011137586
TRINITY_DN35208_c0_g1,,-1.50010371,0.005962854
TRINITY_DN3527_c7_g1,,-1.686526541,0.028366518
TRINITY_DN35297_c0_g1,,-2.371964153,0.001364868
TRINITY_DN353_c1_g1,,-1.246614067,0.000479395
TRINITY_DN3532_c1_g1,,-1.426432194,0.003551964
TRINITY_DN35351_c0_g1,,-1.408921476,0.04266148
TRINITY_DN35368_c1_g3,,-3.233308436,0.036258413
TRINITY_DN3545_c0_g2,MAP4K3 RAB8IPL1,-1.976193785,0.000947393
TRINITY_DN35482_c0_g1,,-1.69755178,0.001110038
TRINITY_DN35518_c0_g1,,-1.790090262,0.018703354
TRINITY_DN35609_c0_g1,,-2.667725839,0.003224663
TRINITY_DN35655_c0_g1,,-3.266396631,0.002368901
TRINITY_DN35655_c1_g2,,-2.563228399,0.020414068
TRINITY_DN35682_c1_g1,,-1.496445087,0.041795983
TRINITY_DN35709_c0_g1,,-2.500056669,0.000345698
TRINITY_DN35726_c0_g1,,-1.181632525,0.02069482
TRINITY_DN35755_c1_g2,,-1.824237741,0.016016852
TRINITY_DN35792_c1_g2,MUC2 SMUC,-1.558050717,0.001829848
TRINITY_DN35843_c0_g1,,-2.302190717,0.0333475
TRINITY_DN35844_c0_g1,,-1.698532737,0.00833958
TRINITY_DN35850_c0_g1,,-2.170118679,0.033813089
TRINITY_DN35864_c0_g2,,-1.667294721,0.028433281
TRINITY_DN35879_c0_g1,,-1.503506838,0.014749094
TRINITY_DN35894_c1_g1,,-1.207328641,0.040446142
TRINITY_DN35894_c3_g1,,-1.423028989,0.017456121
TRINITY_DN35916_c1_g1,,-1.131797901,0.021239306
TRINITY_DN35934_c0_g1,,-2.489018568,0.020136342
TRINITY_DN36028_c2_g1,,-1.272688979,0.044583063
TRINITY_DN36078_c0_g1,,-3.646214507,0.001063405
TRINITY_DN36132_c0_g1,,-1.397603357,0.006123433
TRINITY_DN36136_c0_g1,,-2.985923853,0.014417496
TRINITY_DN36139_c0_g1,,-1.449633167,0.021072219
TRINITY_DN36141_c0_g1,,-1.4275978,0.00067941
TRINITY_DN36189_c1_g1,,-1.412297437,0.000531881
TRINITY_DN36190_c0_g1,Son Nrebp,-1.533665762,0.003479559
TRINITY_DN36223_c0_g1,Grin1 Nmdar1,-1.576189412,0.013736242
TRINITY_DN36267_c0_g1,,-1.8496363,0.001905933
TRINITY_DN36293_c0_g2,,-2.561605265,0.040475657
TRINITY_DN3631_c0_g1,tuba tuba1,-1.199709496,9.50E-06
TRINITY_DN3635_c0_g1,Ppm1e Camkn Kiaa1072,-1.029387452,0.001043862
TRINITY_DN36393_c0_g1,,-2.163900855,0.000423793
TRINITY_DN36435_c0_g2,,-1.669582884,0.045900601
TRINITY_DN36538_c0_g1,Tle4 Esp2 Grg4,-1.996406634,0.003330896
TRINITY_DN36542_c1_g2,,-1.315309383,0.022462403
TRINITY_DN36558_c0_g1,,-3.347100573,0.001044382
TRINITY_DN36598_c2_g1,,-1.448716431,0.049180673
TRINITY_DN36600_c0_g1,,-1.056365798,0.038920662
TRINITY_DN36606_c1_g1,,-1.080032726,0.010178796
TRINITY_DN36651_c0_g1,,-1.500858278,0.015711827
TRINITY_DN36654_c0_g1,,-1.245231388,0.019926962
TRINITY_DN36669_c0_g2,,-1.412562886,0.00471856
TRINITY_DN36683_c0_g1,,-2.308553855,0.030042727
TRINITY_DN36686_c1_g1,,-3.0983654,0.034613548
TRINITY_DN36687_c2_g2,,-1.668335432,0.033485038
TRINITY_DN36695_c0_g1,,-1.577876674,0.016970333
TRINITY_DN36730_c1_g1,,-1.602972148,0.007048316
TRINITY_DN36759_c0_g1,,-1.564810773,0.039640836
TRINITY_DN3676_c0_g2,,-1.447744221,0.011419324
TRINITY_DN3677_c6_g1,,-3.762260131,0.005474841
TRINITY_DN36811_c0_g1,ttll7,-2.592955022,9.29E-05
TRINITY_DN36846_c1_g1,,-3.147983908,0.001043862
TRINITY_DN36848_c0_g1,,-3.217142792,0.010474536
TRINITY_DN36905_c0_g1,,-1.525259819,0.045215195
TRINITY_DN36913_c2_g1,,-2.167294643,0.005062411
TRINITY_DN36918_c0_g1,,-1.510096668,0.004360608
TRINITY_DN36925_c0_g1,,-1.554793751,0.019830806
TRINITY_DN3697_c1_g2,,-3.651590497,0.001724259
TRINITY_DN36978_c0_g1,,-2.303120668,0.041378273
TRINITY_DN36994_c0_g1,,-1.148212895,0.022276856
TRINITY_DN37030_c2_g1,,-3.083807534,0.036344309
TRINITY_DN37058_c0_g1,,-1.493776922,0.003108071
TRINITY_DN3707_c0_g1,,-1.027107573,0.002235323
TRINITY_DN37127_c0_g1,,-1.16677793,0.037261826
TRINITY_DN37204_c0_g1,,-2.630711611,0.004584349
TRINITY_DN37281_c0_g1,,-1.950988436,0.008237484
TRINITY_DN37317_c0_g1,rps23,-2.669378845,0.019301968
TRINITY_DN37330_c0_g1,,-2.527743811,0.020596768
TRINITY_DN3737_c0_g1,Ppm1h Kiaa1157,-1.047415906,5.69E-05
TRINITY_DN37472_c0_g1,,-2.63573835,0.023058558
TRINITY_DN37474_c0_g1,,-1.911352596,0.027613704
TRINITY_DN3753_c0_g3,MFSD10 TETRAN,-1.306394862,0.03912148
TRINITY_DN37576_c0_g2,,-1.807879028,0.001696733
TRINITY_DN37590_c0_g1,,-3.006387529,0.020172425
TRINITY_DN3760_c3_g1,,-3.215585881,0.000737904
TRINITY_DN37626_c0_g1,,-1.853494205,0.002916302
TRINITY_DN37645_c0_g1,,-1.902980825,0.007893433
TRINITY_DN37800_c0_g1,RABGGTA,-2.231128197,0.003981277
TRINITY_DN37872_c0_g1,,-2.067721285,0.00092597
TRINITY_DN37915_c0_g1,Adgrb3 Bai3,-3.46948717,1.74E-05
TRINITY_DN37936_c0_g1,Asap1 Ddef1 Kiaa1249 Shag1,-4.045184723,0.044887179
TRINITY_DN37938_c0_g1,Poln,-2.60116646,0.000502193
TRINITY_DN37957_c0_g1,,-1.974529014,0.000721624
TRINITY_DN37999_c0_g1,,-1.741824891,0.019737543
TRINITY_DN37999_c1_g1,,-2.506209935,0.001489275
TRINITY_DN38060_c3_g1,,-1.104299574,0.030849749
TRINITY_DN38092_c0_g1,ints4,-1.228218614,0.030298862
TRINITY_DN38134_c0_g1,,-2.035545075,0.018891973
TRINITY_DN38144_c1_g1,,-1.856247109,0.007645769
TRINITY_DN38155_c0_g1,,-2.233809814,0.04216134
TRINITY_DN38157_c0_g1,CACNA1A CACH4 CACN3 CACNL1A4,-1.679887255,0.00984818
TRINITY_DN38199_c0_g1,,-1.547115417,0.002798317
TRINITY_DN38252_c0_g1,,-2.191482807,0.00389681
TRINITY_DN38252_c0_g2,,-2.080503629,0.001784482
TRINITY_DN38270_c0_g3,,-1.24724683,0.021389649
TRINITY_DN38286_c0_g1,,-2.489169313,0.015302563
TRINITY_DN3830_c9_g1,,-2.033566637,0.00189148
TRINITY_DN38318_c0_g1,,-1.860158665,0.004741885
TRINITY_DN38324_c0_g5,,-1.470712602,0.010828651
TRINITY_DN38402_c0_g1,,-1.592489198,0.008869062
TRINITY_DN38462_c0_g1,,-1.756782097,0.011096977
TRINITY_DN38513_c0_g1,,-2.217251665,0.021651293
TRINITY_DN38542_c0_g1,Mov10l1 Champ,-4.988113553,0.000790859
TRINITY_DN38575_c0_g1,,-1.418590389,0.044211495
TRINITY_DN38579_c1_g1,,-2.236203097,0.033213549
TRINITY_DN38612_c0_g1,,-2.004726466,0.003409183
TRINITY_DN38667_c1_g1,,-1.580346518,0.043436748
TRINITY_DN3868_c1_g1,,-1.343547908,0.027422218
TRINITY_DN38682_c1_g2,,-3.158872617,0.009172266
TRINITY_DN38701_c0_g1,,-1.753774146,0.001063405
TRINITY_DN38760_c0_g1,,-1.756770929,0.007511851
TRINITY_DN38803_c1_g1,,-1.312350432,0.049704689
TRINITY_DN38845_c0_g1,CG17896,-2.446742412,0.028882065
TRINITY_DN3893_c1_g1,,-2.055815882,0.006979581
TRINITY_DN38932_c5_g2,,-1.188101832,0.037742601
TRINITY_DN38964_c0_g1,,-1.676329893,0.003468224
TRINITY_DN38965_c2_g1,,-1.518027215,0.009387833
TRINITY_DN38988_c1_g1,Hmgb1 Hmg-1 Hmg1,-1.009856681,0.000609085
TRINITY_DN3901_c1_g1,,-1.764237183,0.011284103
TRINITY_DN39012_c3_g1,Smox Smo,-2.225004123,0.000711433
TRINITY_DN39027_c0_g1,,-2.162907767,0.0003082
TRINITY_DN39034_c0_g1,,-1.260148935,0.022026966
TRINITY_DN39074_c0_g1,,-1.108197268,0.01028652
TRINITY_DN39098_c0_g3,,-2.336996388,0.037358787
TRINITY_DN39123_c0_g1,Slc25a13,-2.349076374,0.002478333
TRINITY_DN39144_c0_g1,Bcl6b Bazf,-1.746260664,0.003124342
TRINITY_DN39153_c0_g1,,-2.413582697,0.001159047
TRINITY_DN39188_c0_g1,DOCK4 KIAA0716,-1.649862732,0.022214196
TRINITY_DN39205_c0_g1,,-1.053842802,0.022039952
TRINITY_DN39218_c4_g1,,-1.662053516,0.005550241
TRINITY_DN39218_c6_g2,,-1.476496563,0.045442432
TRINITY_DN39227_c0_g1,,-5.488532985,0.000197948
TRINITY_DN3924_c1_g1,Klf9 Bteb Bteb1,-1.090433183,0.030213286
TRINITY_DN39243_c0_g1,,-2.53066885,0.003211811
TRINITY_DN3928_c0_g1,GABRB4,-1.159171594,0.004273006
TRINITY_DN39312_c1_g1,,-1.316721441,0.018997695
TRINITY_DN39316_c1_g1,,-1.073467448,0.043193441
TRINITY_DN39335_c0_g1,,-1.314836238,0.007103537
TRINITY_DN39340_c0_g1,,-1.693886282,0.010383878
TRINITY_DN39364_c0_g1,,-2.052855311,0.017418344
TRINITY_DN39370_c0_g1,,-1.625277987,0.017864525
TRINITY_DN39387_c1_g1,,-1.608684257,0.009274639
TRINITY_DN39474_c3_g1,,-1.910630337,0.017622796
TRINITY_DN39474_c9_g1,,-2.108932082,0.019881396
TRINITY_DN39497_c0_g1,,-2.354795751,0.004588382
TRINITY_DN39514_c0_g1,,-1.304105754,0.017585637
TRINITY_DN39559_c0_g1,,-1.445916725,0.037749334
TRINITY_DN39576_c0_g1,,-1.782471896,0.010724673
TRINITY_DN39580_c0_g3,,-1.41045396,0.015909198
TRINITY_DN3965_c1_g2,,-1.789846016,0.010973441
TRINITY_DN39854_c0_g1,,-1.238899745,0.021050268
TRINITY_DN39921_c0_g2,Nrxn1 Kiaa0578,-1.233651534,0.031477494
TRINITY_DN39935_c0_g1,ustA AFLA_094980,-1.385469456,0.015771799
TRINITY_DN39999_c0_g1,,-2.963749435,0.019845158
TRINITY_DN40000_c0_g1,,-2.462359235,0.018427005
TRINITY_DN40057_c1_g1,,-1.025838175,0.030086007
TRINITY_DN40067_c0_g1,,-6.265766635,0.00258852
TRINITY_DN40126_c0_g1,,-3.937706583,0.001598566
TRINITY_DN40154_c0_g1,,-1.868493968,0.012250224
TRINITY_DN40368_c0_g1,,-2.49948459,0.00156326
TRINITY_DN404_c21_g2,Nr1d2,-3.351363236,3.30E-06
TRINITY_DN40437_c0_g1,,-2.99921007,0.008115481
TRINITY_DN40491_c0_g1,,-1.841673004,0.038167969
TRINITY_DN40513_c0_g2,,-1.838267276,0.030637108
TRINITY_DN4054_c3_g1,,-1.808931323,0.023896801
TRINITY_DN40553_c0_g2,,-1.274520909,0.015902323
TRINITY_DN4061_c0_g1,,-1.229573818,0.017262742
TRINITY_DN40623_c0_g1,,-2.516046066,0.000853048
TRINITY_DN40634_c0_g1,,-1.459082282,0.048132907
TRINITY_DN40643_c0_g1,tc1a tca T07D3.8,-1.41790454,0.008338625
TRINITY_DN40662_c0_g1,SRGAP1 ARHGAP13 KIAA1304,-2.208351968,0.016527653
TRINITY_DN40669_c0_g1,,-2.929751225,0.009570556
TRINITY_DN40693_c0_g1,,-1.83277308,0.000536783
TRINITY_DN40708_c0_g1,,-2.254455757,0.024098641
TRINITY_DN40727_c0_g1,,-1.980085624,0.041856253
TRINITY_DN40753_c1_g1,,-1.187027816,0.020697749
TRINITY_DN40805_c0_g1,,-1.348808403,0.005746778
TRINITY_DN40876_c0_g1,,-3.348848781,0.009663733
TRINITY_DN40889_c0_g1,,-1.963897273,0.000847325
TRINITY_DN40895_c0_g1,,-1.715649519,5.78E-05
TRINITY_DN40902_c3_g1,,-1.762193139,0.033467359
TRINITY_DN4092_c0_g1,,-1.163653082,0.016522605
TRINITY_DN40932_c0_g1,,-1.216475331,0.047885909
TRINITY_DN41029_c0_g1,,-1.982018927,0.003508371
TRINITY_DN41029_c2_g3,ATP6V1B2 ATP6B2,-2.582678461,0.007924116
TRINITY_DN4107_c0_g1,Sf3b6 Sf3b14,-1.35291962,0.01501625
TRINITY_DN4116_c0_g1,,-2.5862919,0.000416377
TRINITY_DN41265_c0_g1,,-1.289020544,0.007165947
TRINITY_DN41287_c0_g1,,-2.051709388,0.009107918
TRINITY_DN41301_c0_g1,,-2.802217714,0.001406599
TRINITY_DN41341_c1_g1,,-1.11249589,0.031652802
TRINITY_DN4142_c0_g3,,-1.219665147,0.000453139
TRINITY_DN41467_c0_g1,,-1.632361899,0.005939428
TRINITY_DN41475_c0_g1,,-1.913713454,0.023685226
TRINITY_DN41479_c0_g1,,-1.76054369,0.000825591
TRINITY_DN41479_c0_g2,,-1.840659809,0.022509448
TRINITY_DN41573_c0_g2,,-3.215265863,0.016049901
TRINITY_DN41601_c3_g2,,-1.664756208,0.00728844
TRINITY_DN41624_c1_g3,,-2.345201343,0.00257771
TRINITY_DN41646_c0_g1,,-1.260767802,0.006826168
TRINITY_DN4167_c0_g1,,-3.010110939,5.41E-05
TRINITY_DN4167_c0_g2,,-1.994484795,0.000156708
TRINITY_DN41727_c0_g1,,-3.41813597,0.00071477
TRINITY_DN4174_c1_g1,Simc1 Pleiad,-1.073773507,0.001293701
TRINITY_DN41763_c0_g1,,-1.613473188,0.011020405
TRINITY_DN41784_c0_g1,ASB9,-1.359488674,0.003120082
TRINITY_DN41823_c0_g1,,-1.089148365,0.046679947
TRINITY_DN4190_c0_g1,jockey\pol pol,-1.073428386,0.0101629
TRINITY_DN41944_c0_g2,,-2.724091372,0.016760256
TRINITY_DN41993_c0_g1,,-2.404672364,0.006971543
TRINITY_DN42017_c0_g1,,-1.221297316,0.004432003
TRINITY_DN42060_c0_g5,,-1.670778673,0.003479559
TRINITY_DN42065_c0_g2,,-3.217998488,0.007890936
TRINITY_DN42070_c3_g1,,-1.963909226,0.008163891
TRINITY_DN42085_c1_g1,,-1.281550643,0.019455788
TRINITY_DN42097_c0_g1,,-1.59416723,0.006189483
TRINITY_DN42140_c2_g1,,-1.872740863,0.000752936
TRINITY_DN42142_c1_g2,L1td1 Ecat11,-1.338586109,0.02151083
TRINITY_DN42155_c0_g1,,-1.607511635,0.008765125
TRINITY_DN42172_c0_g2,,-1.020826692,0.033989296
TRINITY_DN42223_c0_g1,,-2.021486089,0.009281615
TRINITY_DN4225_c0_g1,CTSH,-1.036243203,0.003170272
TRINITY_DN42260_c0_g1,,-1.121368384,0.035823573
TRINITY_DN42318_c1_g1,Ralbp1,-1.457157557,0.031574261
TRINITY_DN42321_c0_g1,,-1.763936877,0.030950886
TRINITY_DN4233_c0_g1,TSPAN5,-1.023478538,7.85E-06
TRINITY_DN4234_c0_g2,,-1.463395165,0.045058804
TRINITY_DN4236_c0_g2,Tbcel Lrrc35,-1.83055846,8.26E-06
TRINITY_DN4245_c0_g1,,-1.691178342,0.00044297
TRINITY_DN4247_c3_g2,,-2.095393207,0.000247635
TRINITY_DN42471_c0_g1,,-1.557079259,0.011508003
TRINITY_DN42522_c0_g1,,-3.868837511,0.002235469
TRINITY_DN42559_c0_g1,,-1.207654423,0.011663973
TRINITY_DN42664_c0_g1,,-1.350249889,0.003618688
TRINITY_DN42669_c0_g1,,-1.913071275,0.031396735
TRINITY_DN4267_c0_g1,,-1.163159387,0.008420657
TRINITY_DN42699_c0_g1,,-1.831555408,0.00582978
