GeneID,Gene_name,logFC,adj.P.Val
TRINITY_DN11445_c0_g1,,-2.444120739,0.002367269
TRINITY_DN11454_c0_g3,,-1.467214294,0.028863796
TRINITY_DN11470_c0_g1,,-2.286391777,0.000514916
TRINITY_DN114829_c0_g1,Cdk17 Pctaire2 Pctk2,-4.870164723,0.000167189
TRINITY_DN1152_c0_g1,,-1.683175449,0.001219036
TRINITY_DN11523_c0_g1,,-2.028648959,0.000127341
TRINITY_DN11524_c0_g1,,-2.43538651,0.008760788
TRINITY_DN11525_c1_g1,,-1.602370888,0.034884392
TRINITY_DN115332_c0_g1,,-1.771805265,0.002041959
TRINITY_DN115646_c0_g1,,-1.33306212,0.027995115
TRINITY_DN11571_c0_g1,,-2.907942854,0.017732602
TRINITY_DN11576_c0_g1,DAO Qlv-U252A-C12,-1.587974015,0.015212786
TRINITY_DN11581_c0_g1,,-1.684889805,0.005497805
TRINITY_DN115946_c0_g1,,-1.789878249,0.021050268
TRINITY_DN11606_c0_g2,0,-1.709491331,0.010484431
TRINITY_DN11611_c0_g2,,-1.837985766,0.001424536
TRINITY_DN11677_c0_g1,ZNF740 TB7,-4.686520474,1.36E-05
TRINITY_DN11679_c0_g1,Prkg1 Prkg1b Prkgr1a Prkgr1b,-1.43197932,0.000826596
TRINITY_DN11710_c0_g1,,-4.914698997,1.36E-05
TRINITY_DN11724_c0_g1,,-1.545444862,0.003234095
TRINITY_DN11771_c0_g1,TCEA3,-1.065666446,0.031279673
TRINITY_DN11810_c1_g1,,-1.863315521,0.000197948
TRINITY_DN11823_c0_g2,,-1.148025698,0.000117998
TRINITY_DN11832_c0_g2,,-2.220972219,0.030423037
TRINITY_DN11855_c0_g3,,-1.314748499,0.045900601
TRINITY_DN11861_c0_g2,,-2.88879854,0.027115172
TRINITY_DN118686_c0_g1,,-3.106246783,0.014074502
TRINITY_DN119005_c0_g1,,-2.006959153,0.016113198
TRINITY_DN11901_c0_g1,Bhlhb3 Sharp1,-1.2540387,0.023519904
TRINITY_DN11906_c0_g1,zgc:162928,-1.383080994,0.003087001
TRINITY_DN11921_c0_g1,,-2.032818097,0.000172905
TRINITY_DN11923_c0_g3,,-1.766708504,0.019792842
TRINITY_DN11928_c2_g1,cep76 zgc:162328,-1.324308638,0.002496564
TRINITY_DN11942_c0_g1,RELT TNFRSF19L QccE-10051,-1.064022812,0.019089633
TRINITY_DN119566_c0_g1,,-1.229931738,0.034650281
TRINITY_DN1196_c0_g1,,-1.243807493,0.001375051
TRINITY_DN119750_c0_g1,,-1.785053381,0.012298347
TRINITY_DN11976_c0_g1,,-1.240202239,0.004285381
TRINITY_DN1198_c1_g1,,-1.132683179,0.00019419
TRINITY_DN12008_c0_g1,camk2d,-1.316429653,0.000428648
TRINITY_DN12013_c4_g1,,-2.064742079,0.000233792
TRINITY_DN120151_c0_g1,,-1.074252164,0.006390033
TRINITY_DN120156_c0_g1,,-1.815111795,0.024016682
TRINITY_DN120165_c0_g1,,-3.268895151,0.002970429
TRINITY_DN120229_c0_g1,,-2.88963161,0.032680919
TRINITY_DN12028_c0_g1,,-2.842815142,0.000207268
TRINITY_DN12031_c1_g1,SLC5A11 KST1 SMIT2,-1.238806114,0.044437007
TRINITY_DN12034_c1_g1,,-3.717546158,0.00072543
TRINITY_DN12034_c1_g2,,-3.937125412,0.000295695
TRINITY_DN12037_c0_g1,,-1.091401925,0.048529247
TRINITY_DN120534_c0_g1,,-2.543253917,0.001944152
TRINITY_DN12059_c0_g1,MEFV MEF TRIM20,-1.718166481,0.011508003
TRINITY_DN12070_c0_g1,pip4p2 tmem55a,-1.403249507,0.0016581
TRINITY_DN120721_c0_g1,tbc1d32 bromi si:dkey-233p4.1,-1.398755574,0.030970965
TRINITY_DN12079_c1_g2,,-1.555469373,0.004836233
TRINITY_DN120792_c0_g1,,-4.086316265,0.001456058
TRINITY_DN120809_c0_g1,,-1.044040555,0.039552352
TRINITY_DN12086_c1_g1,,-1.862450306,0.015689918
TRINITY_DN120919_c0_g1,,-1.067786744,0.025794495
TRINITY_DN121131_c0_g1,,-2.173144535,0.001011445
TRINITY_DN12114_c0_g1,,-1.326431244,0.002482093
TRINITY_DN12121_c1_g1,,-2.059327899,0.00132339
TRINITY_DN121330_c0_g1,,-1.699868067,0.010599293
TRINITY_DN121376_c0_g1,,-1.25025311,0.011941481
TRINITY_DN121415_c0_g1,,-1.67033474,0.030714066
TRINITY_DN121458_c0_g1,,-2.822638377,0.007734068
TRINITY_DN121511_c0_g1,,-1.531612027,0.004214531
TRINITY_DN121573_c0_g1,,-1.011133987,0.036864371
TRINITY_DN121726_c0_g1,,-3.550577928,0.003147446
TRINITY_DN121818_c0_g1,,-4.787789279,0.001005178
TRINITY_DN12195_c1_g1,,-1.261428347,0.020824316
TRINITY_DN122083_c0_g1,,-1.66306531,0.002294269
TRINITY_DN12210_c0_g1,,-1.060190428,0.010056752
TRINITY_DN122282_c0_g1,,-1.588273706,0.036358684
TRINITY_DN122336_c0_g1,,-2.696526942,0.001811418
TRINITY_DN12238_c0_g1,MAP2,-1.708836202,0.00011093
TRINITY_DN122581_c0_g1,,-1.392602151,0.030911766
TRINITY_DN122618_c0_g1,,-1.426078474,0.020691436
TRINITY_DN122839_c0_g1,ATP5F1A ATP5A1 ATP5A2,-1.705795063,0.005065952
TRINITY_DN123069_c0_g1,,-3.391252136,0.006505571
TRINITY_DN123189_c0_g1,,-6.226539599,5.22E-05
TRINITY_DN123231_c0_g1,,-2.382504041,0.001537679
TRINITY_DN123305_c0_g1,,-1.434853307,0.008485192
TRINITY_DN123376_c0_g1,,-2.156750218,0.00802821
TRINITY_DN123470_c0_g1,,-1.406935554,0.009096324
TRINITY_DN123541_c0_g1,Atp11c,-4.087654859,0.001043862
TRINITY_DN123628_c0_g1,,-3.74786182,0.026494431
TRINITY_DN123635_c0_g1,,-1.438900005,0.03429485
TRINITY_DN12374_c1_g1,PLA2R1 CLEC13C,-1.337546301,0.001110038
TRINITY_DN123763_c0_g1,,-4.250204609,0.002493004
TRINITY_DN123933_c0_g1,,-1.222930773,0.044868722
TRINITY_DN123981_c0_g1,Nrdc Nrd1,-2.046044841,0.004010948
TRINITY_DN12407_c0_g1,TNS2 KIAA1075 TENC1,-1.00818772,0.003107159
TRINITY_DN124181_c0_g1,,-1.135650478,0.048017234
TRINITY_DN124198_c0_g1,,-2.975426593,0.019353853
TRINITY_DN124203_c0_g1,,-1.397681227,0.008119095
TRINITY_DN12421_c1_g1,,-2.30436894,0.001794394
TRINITY_DN12427_c0_g3,,-1.265549675,0.008040534
TRINITY_DN12438_c0_g1,,-1.434267898,0.000186485
TRINITY_DN124384_c0_g1,,-2.554927535,0.012279666
TRINITY_DN124402_c0_g1,Klhl18,-1.292286378,0.045038202
TRINITY_DN124568_c0_g1,,-1.796538956,0.022431456
TRINITY_DN124665_c0_g1,,-1.559652647,0.005825607
TRINITY_DN124774_c0_g1,SPRYD7 C13orf1 CLLD6,-1.595382155,0.012390569
TRINITY_DN124960_c0_g1,OSBPL6 ORP6,-1.820224644,0.012842312
TRINITY_DN12500_c0_g1,,-1.037218278,0.003793925
TRINITY_DN12502_c1_g1,C8orf88,-1.128937556,0.003139562
TRINITY_DN125298_c0_g1,,-1.185774374,0.045577025
TRINITY_DN12535_c1_g1,,-1.736415428,0.000213953
TRINITY_DN125373_c0_g1,,-2.079274117,0.009177252
TRINITY_DN125387_c0_g1,,-3.600095039,0.002545792
TRINITY_DN12554_c1_g1,XPO1 CRM1,-1.329551864,0.00060925
TRINITY_DN12556_c0_g1,,-2.128658331,0.004560319
TRINITY_DN12561_c1_g2,,-2.248298843,0.007006496
TRINITY_DN125764_c0_g1,,-1.55369336,0.03395087
TRINITY_DN12610_c0_g1,Cdan1,-1.149317911,0.000172591
TRINITY_DN12611_c3_g1,Ccr6 Cmkbr6,-4.612628542,0.001724195
TRINITY_DN12620_c4_g1,,-1.742155971,0.006861423
TRINITY_DN1263_c0_g1,MGARP C4orf49 CESP1 HUMMR OSAP GS3582,-1.181129386,0.000451161
TRINITY_DN12633_c0_g1,,-2.321665861,0.035036153
TRINITY_DN126614_c0_g1,ARL1,-1.607298697,0.010830282
TRINITY_DN12681_c0_g1,WFDC1 PS20,-1.186617458,0.025486403
TRINITY_DN12696_c0_g1,Nr1d1 Ear1,-1.476042375,0.022276528
TRINITY_DN12705_c0_g1,pol,-1.142130632,0.002004994
TRINITY_DN12760_c0_g1,,-1.529817282,0.025123808
TRINITY_DN127636_c0_g1,,-1.188728544,0.047483318
TRINITY_DN12767_c0_g1,dhx9,-1.067067503,0.002630477
TRINITY_DN127916_c0_g1,GRIN2B,-1.424779164,0.037132808
TRINITY_DN12793_c1_g1,,-1.047651028,0.002770295
TRINITY_DN12832_c0_g1,,-1.25572705,0.002889729
TRINITY_DN12838_c0_g1,DAN4 YJR151C J2223,-2.846900805,0.000756089
TRINITY_DN12844_c0_g3,GRIA4 GLUR4,-1.6348814,0.002613388
TRINITY_DN12844_c1_g1,,-1.403540373,0.003981277
TRINITY_DN12847_c2_g1,,-5.348098281,0.001183447
TRINITY_DN12853_c1_g1,,-1.343675112,0.00649646
TRINITY_DN12875_c0_g1,tc1a tca T07D3.8,-3.162330222,4.00E-05
TRINITY_DN12875_c0_g2,,-4.430158525,0.00024388
TRINITY_DN128888_c0_g1,,-1.070750511,0.027248815
TRINITY_DN12892_c3_g1,,-1.496679657,0.015420371
TRINITY_DN12973_c0_g1,,-1.450761176,0.011114389
TRINITY_DN12976_c0_g1,,-1.019851138,0.031012968
TRINITY_DN130_c1_g1,cadm4 igsf4c,-1.363673403,0.037009738
TRINITY_DN13007_c0_g1,,-1.566528343,0.000233717
TRINITY_DN13013_c0_g1,Fkbp10 Fkbp-rs Fkbp1-rs Fkbp6 Fkbp65 Fkbprp,-1.57964508,0.000213008
TRINITY_DN130307_c0_g1,,-3.102188654,0.001829848
TRINITY_DN13054_c0_g1,ZNF618 KIAA1952,-1.507235023,0.007432611
TRINITY_DN13073_c2_g1,,-1.355053146,0.012872598
TRINITY_DN131073_c0_g1,,-1.690982369,0.037852962
TRINITY_DN131075_c0_g1,,-4.374642415,0.000623667
TRINITY_DN13132_c0_g1,FBXL12 FBL12,-1.239846794,0.000169745
TRINITY_DN13132_c0_g2,,-1.554848473,0.006876197
TRINITY_DN13148_c0_g1,,-2.520012563,0.000208965
TRINITY_DN13158_c0_g1,,-2.410515524,0.031718411
TRINITY_DN13161_c0_g1,,-1.173307534,0.004284769
TRINITY_DN1318_c4_g1,,-2.652874677,0.002478333
TRINITY_DN13183_c0_g1,,-1.038324752,0.016526884
TRINITY_DN13236_c0_g1,,-2.889333713,0.001615983
TRINITY_DN13239_c4_g1,,-2.930884329,0.048333097
TRINITY_DN13240_c4_g2,,-1.684061023,0.016786102
TRINITY_DN132486_c0_g1,,-1.519526997,0.026259992
TRINITY_DN13261_c0_g1,,-1.831567001,0.016374849
TRINITY_DN13263_c1_g1,,-1.544069427,0.002119672
TRINITY_DN13273_c0_g2,Sgsm2 Kiaa0397 Rutbc1,-2.68973921,0.029883177
TRINITY_DN13306_c1_g1,,-1.905763896,0.001371434
TRINITY_DN13310_c0_g1,Gria3 Glur3,-1.655996742,0.002515321
TRINITY_DN13314_c0_g1,RARB HAP NR1B2,-1.151218528,0.007019587
TRINITY_DN13336_c0_g1,Mmd2 Paqr10,-1.28638456,0.010474674
TRINITY_DN13357_c0_g3,,-1.214745729,0.02208237
TRINITY_DN13415_c1_g1,,-2.327881364,0.016591498
TRINITY_DN134172_c0_g1,,-3.088989106,0.001611767
TRINITY_DN134507_c0_g1,,-1.118843304,0.032575379
TRINITY_DN134572_c0_g1,,-1.256673917,0.028366518
TRINITY_DN1346_c0_g3,,-2.362661046,0.023665018
TRINITY_DN134658_c0_g1,,-2.092705044,0.01074906
TRINITY_DN134667_c0_g1,,-4.680656593,0.000213953
TRINITY_DN134741_c0_g1,,-1.764551325,0.013366269
TRINITY_DN134937_c0_g1,,-2.098564377,0.011174055
TRINITY_DN134982_c0_g1,,-2.284370838,0.01003361
TRINITY_DN135105_c0_g1,,-1.430262212,0.037820571
TRINITY_DN13521_c0_g2,,-3.216540481,0.000350092
TRINITY_DN135247_c0_g1,,-1.530617032,0.007071882
TRINITY_DN135270_c0_g1,POLE POLE1,-2.200009448,0.014373565
TRINITY_DN135315_c0_g1,,-1.388591759,0.032681757
TRINITY_DN135396_c0_g1,,-2.322235419,0.021820913
TRINITY_DN135447_c0_g1,,-1.862455254,0.004097778
TRINITY_DN135455_c0_g1,,-2.009489853,0.019334943
TRINITY_DN135608_c0_g1,,-1.412672771,0.028963363
TRINITY_DN135612_c0_g1,,-2.117601438,0.00163657
TRINITY_DN135742_c0_g1,,-3.049421694,0.012357662
TRINITY_DN13577_c0_g1,,-1.908306375,0.001562488
TRINITY_DN135785_c0_g1,,-5.636162408,0.001392702
TRINITY_DN13584_c0_g2,,-1.965590348,0.023941734
TRINITY_DN135883_c0_g1,,-3.187170889,0.0109913
TRINITY_DN135900_c0_g1,,-1.538830107,0.037823479
TRINITY_DN136058_c0_g1,,-1.969634089,0.002793173
TRINITY_DN13615_c0_g1,,-2.086384397,8.18E-05
TRINITY_DN136212_c0_g1,Pole Pole1,-1.410617562,0.033890634
TRINITY_DN13635_c1_g2,,-1.544368356,0.000287325
TRINITY_DN136395_c0_g1,,-2.049964724,0.007718176
TRINITY_DN13648_c0_g1,Gria4 Glur4,-2.306375384,0.003760868
TRINITY_DN1365_c2_g2,,-1.361428,0.009787563
TRINITY_DN136530_c0_g1,,-1.530889199,0.030585766
TRINITY_DN13665_c1_g1,SYCP2 SCP2,-1.574427346,0.002637308
TRINITY_DN13666_c0_g2,,-1.331730619,0.027370511
TRINITY_DN13709_c0_g1,,-1.364357115,0.039342283
TRINITY_DN137182_c0_g1,,-1.597904951,0.037820571
TRINITY_DN13779_c0_g1,,-1.264173821,0.010525505
TRINITY_DN137793_c0_g1,,-1.286052711,0.041851098
TRINITY_DN137848_c0_g1,,-2.015143497,0.009107918
TRINITY_DN137976_c0_g1,,-2.005230739,0.020356721
TRINITY_DN137990_c0_g1,,-1.206612006,0.040020448
TRINITY_DN13810_c3_g1,,-1.069893809,0.036461768
TRINITY_DN13814_c0_g3,,-1.577299176,0.023294444
TRINITY_DN138260_c0_g1,,-1.668433806,0.001634352
TRINITY_DN138333_c0_g1,,-2.375965529,0.003311946
TRINITY_DN138369_c0_g1,,-5.971512603,0.000682126
TRINITY_DN13841_c0_g2,scamp5,-1.01935117,0.001063405
TRINITY_DN13859_c3_g1,,-1.683263557,0.009915727
TRINITY_DN138639_c0_g1,,-1.511952215,0.02377974
TRINITY_DN13875_c0_g1,Rab28,-1.419622318,0.006505571
TRINITY_DN13878_c1_g2,,-3.634772039,0.000527109
TRINITY_DN138815_c0_g1,Pitslre CG4268,-4.610714182,0.000531273
TRINITY_DN13882_c0_g1,,-1.16617066,0.003318312
TRINITY_DN138997_c0_g1,,-3.445236277,0.00208055
TRINITY_DN13910_c0_g2,keap1a,-3.059931765,0.008361538
TRINITY_DN139134_c0_g1,elavl2 elrB TEgg126j06.1,-4.239890496,0.000967667
TRINITY_DN139162_c0_g1,,-1.358341655,0.042647456
TRINITY_DN139309_c0_g1,,-2.381013573,0.001604575
TRINITY_DN13934_c0_g1,,-1.62111512,0.002170188
TRINITY_DN13934_c2_g1,,-1.529863963,0.008190255
TRINITY_DN139402_c0_g1,,-1.742115722,0.012151852
TRINITY_DN13944_c2_g3,,-1.087570304,0.024675994
TRINITY_DN13962_c1_g1,,-1.440616641,0.001011657
TRINITY_DN13989_c0_g1,,-1.158362641,0.03660302
TRINITY_DN13991_c3_g1,,-2.086475828,0.034152168
TRINITY_DN139914_c0_g1,,-2.747333932,0.009239541
TRINITY_DN13994_c1_g1,,-1.598499459,0.005366301
TRINITY_DN14_c15_g1,,-1.077679914,0.011964052
TRINITY_DN14008_c0_g1,,-1.265192499,0.001446905
TRINITY_DN14021_c0_g2,slc47a1 mate1 zgc:158231,-1.422235671,0.000867228
TRINITY_DN140390_c0_g1,,-1.793095638,0.002845452
TRINITY_DN14040_c1_g1,,-1.26525672,0.017918724
TRINITY_DN14050_c0_g1,,-1.993676361,0.010206274
TRINITY_DN140592_c0_g1,,-3.954229495,0.00257771
TRINITY_DN14084_c1_g1,MYLK,-2.271817738,0.000907317
TRINITY_DN140861_c0_g1,,-2.130503431,0.018858336
TRINITY_DN14091_c0_g1,,-1.018648543,0.009881726
TRINITY_DN14092_c0_g3,,-1.273767574,0.010129701
TRINITY_DN1410_c10_g1,,-1.953113584,0.000149944
TRINITY_DN1410_c5_g1,,-1.097722737,0.032752619
TRINITY_DN14103_c0_g2,,-2.131280926,0.001638648
TRINITY_DN141059_c0_g1,,-1.914467001,0.007439666
TRINITY_DN141591_c0_g1,,-1.568669614,0.022526532
TRINITY_DN14172_c0_g1,,-1.941677138,0.000233717
TRINITY_DN14188_c0_g1,,-3.591520973,0.005643071
TRINITY_DN142096_c0_g1,,-1.926308706,0.020618767
TRINITY_DN14222_c0_g1,,-1.524902026,0.007838471
TRINITY_DN14232_c0_g1,,-1.62449772,0.009638708
TRINITY_DN14253_c0_g1,,-1.149012203,0.014160483
TRINITY_DN142545_c0_g1,,-2.135725736,0.004349258
TRINITY_DN142569_c0_g1,,-1.986352681,0.021410876
TRINITY_DN14261_c0_g3,,-1.239450702,0.001990925
TRINITY_DN142614_c0_g1,,-2.012699359,0.012586178
TRINITY_DN14285_c0_g1,,-1.322620999,0.004284621
TRINITY_DN14296_c0_g1,sult1st1,-3.255848769,0.002125115
TRINITY_DN143016_c0_g1,,-1.396997389,0.021823363
TRINITY_DN14329_c1_g1,SERGEF,-1.385234709,0.045854305
TRINITY_DN14357_c3_g1,,-2.124892442,0.001733917
TRINITY_DN1440_c3_g1,,-1.733097286,0.003037506
TRINITY_DN14421_c0_g1,,-1.719453815,0.000426393
TRINITY_DN14428_c0_g1,far1,-1.251678731,0.009337198
TRINITY_DN14433_c0_g1,,-1.222025057,0.01085092
TRINITY_DN14494_c1_g1,,-1.615628728,0.004556059
TRINITY_DN14514_c0_g2,cfap418 dkey-242e21.4,-1.902735378,0.012417493
TRINITY_DN145303_c0_g1,,-2.300546106,0.019551704
TRINITY_DN14560_c0_g1,,-2.604017122,0.002010417
TRINITY_DN14576_c1_g1,foxred2 si:dkeyp-69e1.5 zgc:153216,-1.714010366,0.035206045
TRINITY_DN14581_c0_g3,,-1.774160644,0.019392097
TRINITY_DN14594_c0_g1,,-1.27801739,0.002603935
TRINITY_DN14598_c0_g2,,-1.363467724,0.012745961
TRINITY_DN14599_c2_g1,,-2.383811576,0.006403517
TRINITY_DN14607_c0_g1,ERBB3 HER3,-1.124362733,0.00487756
TRINITY_DN14609_c1_g1,,-1.085307431,0.049863377
TRINITY_DN14609_c1_g3,Tgs1 Ncoa6ip Pimt,-1.406450637,0.005324097
TRINITY_DN14618_c0_g1,,-1.167466007,0.006844409
TRINITY_DN14628_c0_g1,,-2.398545003,0.010301292
TRINITY_DN14644_c0_g2,,-1.167400472,0.023417595
TRINITY_DN14664_c0_g1,,-1.14616169,0.013166576
TRINITY_DN146657_c0_g1,,-2.149007981,0.010058729
TRINITY_DN146771_c0_g1,,-2.188519022,0.000666655
TRINITY_DN14705_c0_g1,,-2.871623551,0.000261235
TRINITY_DN14721_c0_g2,psmc3ip,-1.202125015,0.040537225
TRINITY_DN14723_c3_g1,,-1.559928062,0.027292377
TRINITY_DN14738_c0_g1,,-1.67939663,0.030050155
TRINITY_DN14738_c0_g2,,-3.047884372,0.035178566
TRINITY_DN14766_c0_g1,,-1.037814055,0.018525632
TRINITY_DN14780_c0_g1,,-1.873095275,0.030275728
