GeneID	Gene_me	logFC	P_Value	adj_P_Val
TRINITY_DN29236_c0_g1	NR1D1	-3.988654752	0.00013161	0.003344295
TRINITY_DN158409_c0_g1	grin1	-3.985971988	0.000282497	0.005395488
TRINITY_DN20911_c0_g1		-3.979780541	1.86E-05	0.001078319
TRINITY_DN140592_c0_g1		-3.954229495	8.33E-05	0.00257771
TRINITY_DN4544_c11_g1		-3.945238871	1.74E-05	0.001043862
TRINITY_DN43913_c0_g1		-3.942145502	0.00013538	0.003407857
TRINITY_DN40126_c0_g1		-3.937706583	3.68E-05	0.001598566
TRINITY_DN12034_c1_g2		-3.937125412	1.60E-06	0.000295695
TRINITY_DN10049_c0_g1		-3.921776246	0.003266455	0.026126567
TRINITY_DN26021_c0_g1		-3.907345654	9.37E-05	0.002747953
TRINITY_DN23461_c0_g1		-3.887697982	0.000116132	0.003116869
TRINITY_DN42522_c0_g1		-3.868837511	6.53E-05	0.002235469
TRINITY_DN96612_c0_g1		-3.864153302	0.0008738	0.010961815
TRINITY_DN8567_c0_g2		-3.86149512	0.000126491	0.003268024
TRINITY_DN72254_c0_g1		-3.852751935	0.00020658	0.004446122
TRINITY_DN18697_c1_g1		-3.827265632	1.48E-05	0.000950377
TRINITY_DN21404_c0_g1		-3.825659971	0.002411653	0.021389649
TRINITY_DN77497_c0_g1		-3.825601148	4.20E-05	0.001724259
TRINITY_DN92271_c0_g1		-3.818277883	0.000103588	0.002915394
TRINITY_DN80008_c0_g1		-3.81707841	5.57E-05	0.002041959
TRINITY_DN23457_c2_g1		-3.794343049	0.005322946	0.03626833
TRINITY_DN28090_c0_g1		-3.782811853	3.93E-05	0.001652921
TRINITY_DN21867_c1_g1		-3.779752268	4.38E-05	0.001771997
TRINITY_DN9557_c4_g1		-3.768984143	2.69E-05	0.001341156
TRINITY_DN670_c2_g1		-3.766003594	0.000816335	0.010508615
TRINITY_DN809_c5_g1		-3.762438985	0.000846955	0.010749805
TRINITY_DN3677_c6_g1		-3.762260131	0.0002894	0.005474841
TRINITY_DN123628_c0_g1		-3.74786182	0.003342912	0.026494431
TRINITY_DN48562_c0_g1		-3.733262929	0.000190804	0.004248745
TRINITY_DN91948_c0_g1		-3.732405485	1.32E-05	0.000887402
TRINITY_DN51362_c0_g1		-3.724145797	3.22E-05	0.00147592
TRINITY_DN12034_c1_g1		-3.717546158	9.20E-06	0.00072543
TRINITY_DN59870_c0_g1		-3.695988327	0.000148298	0.003592135
TRINITY_DN74810_c0_g1		-3.691578324	8.77E-05	0.00265602
TRINITY_DN81314_c0_g1	Cac1a Cach4 Cacn3 Cacnl1a4	-3.683264199	2.48E-06	0.000372139
TRINITY_DN52302_c0_g1		-3.678608571	4.43E-05	0.001783657
TRINITY_DN17734_c0_g2		-3.673790079	5.01E-05	0.001924637
TRINITY_DN65000_c0_g1		-3.673057909	2.85E-06	0.000399396
TRINITY_DN16944_c0_g1		-3.667091663	0.00031132	0.0057469
TRINITY_DN18508_c0_g1		-3.660380311	2.28E-05	0.001216108
TRINITY_DN56216_c0_g1		-3.658365942	5.46E-06	0.000557821
TRINITY_DN977_c1_g2		-3.652917446	8.33E-05	0.00257771
TRINITY_DN3697_c1_g2		-3.651590497	4.20E-05	0.001724259
TRINITY_DN36078_c0_g1		-3.646214507	1.82E-05	0.001063405
TRINITY_DN13878_c1_g2		-3.634772039	4.80E-06	0.000527109
TRINITY_DN78190_c0_g1		-3.633263855	0.00022268	0.004668943
TRINITY_DN3430_c1_g4		-3.629923159	0.000380859	0.006505571
TRINITY_DN32326_c0_g1	AICDA	-3.626811397	0.000168841	0.003920751
TRINITY_DN17428_c0_g3		-3.612345781	0.003374784	0.02666631
TRINITY_DN125387_c0_g1		-3.600095039	8.13E-05	0.002545792
TRINITY_DN14188_c0_g1		-3.591520973	0.000301583	0.005643071
TRINITY_DN43621_c0_g1	Kif1b	-3.591338607	2.49E-07	0.000115904
TRINITY_DN21089_c0_g3		-3.58291479	6.70E-05	0.002279835
TRINITY_DN20930_c0_g1		-3.576186832	0.000517052	0.007916417
TRINITY_DN121726_c0_g1		-3.550577928	0.000118628	0.003147446
TRINITY_DN50445_c1_g1	tf	-3.543773942	7.44E-05	0.002438687
TRINITY_DN24826_c0_g1		-3.529862722	7.00E-06	0.000632283
TRINITY_DN25072_c0_g1		-3.527798694	0.000105715	0.002949704
TRINITY_DN22645_c1_g1		-3.525038056	8.99E-08	6.38E-05
TRINITY_DN27226_c0_g1		-3.518927287	4.64E-05	0.001836711
TRINITY_DN29065_c0_g1		-3.509601434	9.47E-05	0.002766678
TRINITY_DN2612_c3_g1		-3.506451043	0.000297006	0.005576011
TRINITY_DN65456_c0_g1		-3.503699827	4.52E-06	0.00051674
TRINITY_DN43414_c0_g1		-3.501339441	1.07E-05	0.000782625
TRINITY_DN24713_c0_g1		-3.496400493	2.70E-06	0.000387355
TRINITY_DN18637_c0_g1		-3.491918803	0.000280108	0.005366301
TRINITY_DN4329_c7_g1		-3.489584708	0.000392961	0.006647819
TRINITY_DN79620_c0_g1		-3.489328396	7.53E-06	0.000658595
TRINITY_DN28214_c0_g1		-3.476962724	0.000390655	0.006616068
TRINITY_DN92790_c0_g1		-3.474883015	2.12E-05	0.001176459
TRINITY_DN37915_c0_g1	Adgrb3 Bai3	-3.46948717	9.86E-09	1.74E-05
TRINITY_DN30328_c0_g1	tmem38a zgc:77831	-3.468759522	3.08E-05	0.00144234
TRINITY_DN4753_c2_g2		-3.460426968	3.84E-05	0.001632227
TRINITY_DN161638_c0_g1		-3.448735736	0.000437435	0.007108644
TRINITY_DN138997_c0_g1		-3.445236277	5.76E-05	0.00208055
TRINITY_DN45506_c0_g1		-3.438599045	0.000295583	0.005557753
TRINITY_DN79115_c0_g1		-3.433404317	0.000122052	0.003211811
TRINITY_DN78577_c0_g1		-3.420852905	3.07E-05	0.001440854
TRINITY_DN41727_c0_g1		-3.41813597	8.86E-06	0.00071477
TRINITY_DN59826_c0_g1		-3.413538695	0.00021055	0.004503313
TRINITY_DN8636_c1_g2		-3.410927311	8.80E-07	0.000212149
TRINITY_DN68300_c0_g1		-3.403061647	0.00021821	0.004603363
TRINITY_DN93500_c0_g1		-3.398449758	0.002283821	0.020623194
TRINITY_DN42893_c0_g1		-3.397704584	0.000601875	0.008665094
TRINITY_DN27443_c0_g1		-3.393379072	7.01E-05	0.002338984
TRINITY_DN123069_c0_g1		-3.391252136	0.000381154	0.006505571
TRINITY_DN6997_c0_g2		-3.370771654	2.74E-05	0.001356954
TRINITY_DN93017_c0_g1		-3.367953374	5.76E-05	0.00208055
TRINITY_DN25401_c1_g2		-3.367134659	1.67E-06	0.000300271
TRINITY_DN43481_c0_g1		-3.36397143	0.000152732	0.003665343
TRINITY_DN32366_c0_g1		-3.361563257	3.84E-05	0.001632227
TRINITY_DN74081_c0_g1		-3.354106004	0.002849735	0.023914847
TRINITY_DN75708_c0_g1		-3.353590535	3.05E-06	0.000416377
TRINITY_DN404_c21_g2	Nr1d2	-3.351363236	1.27E-10	3.30E-06
TRINITY_DN40876_c0_g1		-3.348848781	0.000710053	0.009663733
TRINITY_DN36558_c0_g1		-3.347100573	1.75E-05	0.001044382
TRINITY_DN18676_c3_g1		-3.339184713	0.000157338	0.00374155
TRINITY_DN43046_c0_g1		-3.337944089	0.000122028	0.003211811
TRINITY_DN23677_c0_g1		-3.336424327	0.000418215	0.006902948
TRINITY_DN45229_c1_g1	Fgf12 Fhf1	-3.333742345	4.70E-06	0.000524457
TRINITY_DN15567_c0_g1		-3.320927843	0.000106896	0.00297291
TRINITY_DN45229_c0_g1	FGF14 FHF4	-3.314676358	1.04E-06	0.000230153
TRINITY_DN21539_c0_g1		-3.298125366	1.84E-06	0.000311184
TRINITY_DN7402_c2_g1		-3.296372234	6.77E-08	5.48E-05
TRINITY_DN20644_c0_g1		-3.296343168	0.002039544	0.019206616
TRINITY_DN92589_c0_g1		-3.289726757	4.67E-05	0.001842469
TRINITY_DN29773_c0_g2		-3.282403245	0.00238377	0.021224661
TRINITY_DN3005_c2_g1	Serpi10 Zpi	-3.282377291	0.003665648	0.028152544
TRINITY_DN24978_c2_g2		-3.28211778	8.29E-07	0.000207152
TRINITY_DN22330_c0_g1		-3.280886865	0.00101549	0.01209811
TRINITY_DN8487_c1_g1	Ablim1 Ablim Kiaa0059	-3.280510567	0.000129451	0.00331812
TRINITY_DN94506_c0_g1		-3.27926235	0.0007156	0.009713541
TRINITY_DN51572_c1_g1		-3.278960264	0.000175342	0.004014466
TRINITY_DN30395_c0_g1		-3.270587708	0.000167209	0.003888828
TRINITY_DN120165_c0_g1		-3.268895151	0.000106698	0.002970429
TRINITY_DN32525_c0_g1		-3.266453566	0.000570959	0.008372307
TRINITY_DN35655_c0_g1		-3.266396631	7.15E-05	0.002368901
TRINITY_DN56761_c2_g1		-3.256340253	0.001040777	0.012283309
TRINITY_DN14296_c0_g1	sult1st1	-3.255848769	6.01E-05	0.002125115
TRINITY_DN23880_c0_g2		-3.239377707	5.64E-07	0.000174602
TRINITY_DN18608_c0_g1		-3.238872652	7.32E-07	0.0001964
TRINITY_DN34653_c0_g1	PTPRS	-3.234075332	6.24E-06	0.000590522
TRINITY_DN35368_c1_g3		-3.233308436	0.005318856	0.036258413
TRINITY_DN91737_c0_g1		-3.230027434	0.000106123	0.002955739
TRINITY_DN90563_c0_g1		-3.226865625	0.000265932	0.005193151
TRINITY_DN98353_c0_g1		-3.226124056	1.64E-05	0.001007907
TRINITY_DN24892_c0_g1		-3.225326168	0.00024053	0.004873065
TRINITY_DN34670_c0_g2		-3.222856515	6.99E-05	0.002336043
TRINITY_DN42065_c0_g2		-3.217998488	0.000513481	0.007890936
TRINITY_DN31232_c3_g1		-3.217934534	0.004478517	0.032215537
TRINITY_DN36848_c0_g1		-3.217142792	0.000810509	0.010474536
TRINITY_DN13521_c0_g2		-3.216540481	2.22E-06	0.000350092
TRINITY_DN3760_c3_g1		-3.215585881	9.48E-06	0.000737904
TRINITY_DN41573_c0_g2		-3.215265863	0.001561584	0.016049901
TRINITY_DN45211_c0_g1		-3.211819678	0.000326301	0.00593338
TRINITY_DN31150_c0_g1	ATP11A ATPIH ATPIS KIAA1021	-3.207613612	0.00011982	0.003170105
TRINITY_DN60157_c0_g1		-3.206794803	5.99E-05	0.002123749
TRINITY_DN34376_c0_g1		-3.193050457	9.84E-05	0.002829969
TRINITY_DN8859_c0_g1		-3.191434951	1.15E-06	0.000238682
TRINITY_DN135883_c0_g1		-3.187170889	0.000878073	0.0109913
TRINITY_DN8553_c0_g2	WASF3 KIAA0900 SCAR3 WAVE3	-3.184113641	0.002317538	0.020824316
TRINITY_DN9930_c3_g1		-3.178471277	0.000209008	0.004481687
TRINITY_DN79325_c0_g1		-3.163125274	0.000187391	0.004199997
TRINITY_DN15603_c0_g2		-3.162498129	0.006642833	0.041727533
TRINITY_DN12875_c0_g1	tc1a tca T07D3.8	-3.162330222	4.14E-08	4.00E-05
TRINITY_DN38682_c1_g2		-3.158872617	0.000657696	0.009172266
TRINITY_DN16452_c2_g1		-3.158688258	7.23E-07	0.0001964
TRINITY_DN25269_c0_g1		-3.158076003	1.24E-06	0.00025281
TRINITY_DN18785_c0_g1		-3.156896029	0.000513598	0.007890936
TRINITY_DN48881_c0_g2		-3.156698289	4.76E-06	0.000527074
TRINITY_DN46055_c0_g1		-3.1503883	5.67E-05	0.002062687
TRINITY_DN24833_c0_g1	Gria3 Glur3	-3.148919814	6.70E-07	0.000190539
TRINITY_DN36846_c1_g1		-3.147983908	1.74E-05	0.001043862
TRINITY_DN105077_c0_g1	Nrp1 Nrp	-3.144242336	0.001057693	0.01240574
TRINITY_DN20298_c0_g1		-3.142746942	3.52E-08	3.68E-05
TRINITY_DN60490_c0_g1		-3.13968592	0.001112284	0.012848735
TRINITY_DN59381_c0_g1		-3.132208536	0.00070642	0.009631268
TRINITY_DN59988_c2_g1		-3.130328257	3.81E-05	0.001622717
TRINITY_DN34769_c0_g1		-3.128056108	0.000643112	0.009058143
TRINITY_DN27878_c0_g1		-3.126011282	7.50E-05	0.002447337
TRINITY_DN298_c2_g2		-3.120304959	8.26E-08	6.15E-05
TRINITY_DN104058_c0_g1		-3.110625049	0.006868667	0.04251894
TRINITY_DN17569_c0_g1		-3.108822873	1.40E-05	0.000917127
TRINITY_DN22962_c1_g1		-3.108630829	0.000570962	0.008372307
TRINITY_DN118686_c0_g1		-3.106246783	0.001277801	0.014074502
TRINITY_DN130307_c0_g1		-3.102188654	4.60E-05	0.001829848
TRINITY_DN36686_c1_g1		-3.0983654	0.00497218	0.034613548
TRINITY_DN24048_c0_g1		-3.098325919	0.000313475	0.005778601
TRINITY_DN8677_c0_g3		-3.093766348	3.45E-08	3.68E-05
TRINITY_DN46554_c0_g1		-3.090717301	0.002398486	0.021312668
TRINITY_DN134172_c0_g1		-3.088989106	3.77E-05	0.001611767
TRINITY_DN17199_c0_g1		-3.086398627	0.005457764	0.036821126
TRINITY_DN46074_c2_g1		-3.083885736	0.00013598	0.00341181
TRINITY_DN37030_c2_g1		-3.083807534	0.005342051	0.036344309
TRINITY_DN26228_c0_g3	scn4aa v1.4a	-3.083319616	1.10E-06	0.000236366
TRINITY_DN69338_c0_g1		-3.079473854	0.002287748	0.020643559
TRINITY_DN69969_c0_g1		-3.076642811	1.80E-06	0.000307955
TRINITY_DN17043_c1_g1	slc30a9	-3.071695905	0.000733967	0.009852394
TRINITY_DN90190_c0_g1		-3.064264291	8.07E-05	0.002534425
TRINITY_DN23974_c5_g1		-3.061308369	2.45E-05	0.001269811
TRINITY_DN71866_c0_g1		-3.06065858	0.000400336	0.00672652
TRINITY_DN13910_c0_g2	keap1a	-3.059931765	0.00056892	0.008361538
TRINITY_DN15574_c0_g2		-3.058154164	4.46E-05	0.001789009
TRINITY_DN33501_c0_g1		-3.054710152	0.000737179	0.009870441
TRINITY_DN764_c1_g1		-3.050564003	0.002311206	0.020785373
TRINITY_DN135742_c0_g1		-3.049421694	0.001051886	0.012357662
TRINITY_DN14738_c0_g2		-3.047884372	0.005093793	0.035178566
TRINITY_DN20223_c0_g2		-3.0466222	0.000619822	0.008829787
TRINITY_DN24444_c0_g1		-3.044079291	0.000997591	0.011963347
TRINITY_DN19789_c0_g1		-3.043991604	0.000424901	0.006987162
TRINITY_DN5684_c1_g1		-3.042173769	0.000546778	0.008163891
TRINITY_DN22950_c1_g1		-3.039269644	0.001422709	0.015094409
TRINITY_DN34670_c0_g1		-3.034357026	0.00073524	0.009861255
TRINITY_DN9179_c0_g1		-3.026163544	1.12E-09	6.99E-06
TRINITY_DN8406_c0_g1		-3.017474707	0.00030762	0.005709316
TRINITY_DN30089_c0_g1		-3.015682337	8.43E-05	0.002593442
TRINITY_DN17459_c0_g3		-3.012222337	0.00077252	0.01015792
TRINITY_DN4167_c0_g1		-3.010110939	6.57E-08	5.41E-05
TRINITY_DN113335_c0_g1	Ube3a	-3.009087084	0.000430908	0.007048316
TRINITY_DN29368_c0_g1		-3.008209274	0.001308574	0.01428856
TRINITY_DN37590_c0_g1		-3.006387529	0.002206788	0.020172425
TRINITY_DN1531_c8_g1	Drap1	-3.002306227	0.000895673	0.011116786
TRINITY_DN40437_c0_g1		-2.99921007	0.000539951	0.008115481
TRINITY_DN16712_c2_g1		-2.996070376	0.000126258	0.003264298
TRINITY_DN78180_c0_g1		-2.993272118	2.95E-05	0.001409916
TRINITY_DN70052_c0_g1		-2.991572229	0.00017101	0.003952772
TRINITY_DN45391_c0_g1	dnm1l zgc:66163	-2.990781412	0.000780992	0.010221544
TRINITY_DN36136_c0_g1		-2.985923853	0.001325752	0.014417496
TRINITY_DN28786_c0_g1		-2.980769302	0.000537357	0.008101222
TRINITY_DN124198_c0_g1		-2.975426593	0.002060194	0.019353853
TRINITY_DN19456_c0_g1	Rbm12	-2.975408372	0.000579703	0.008442331
TRINITY_DN15258_c0_g1		-2.972247976	0.003061312	0.025063037
TRINITY_DN19742_c0_g1		-2.969721751	2.16E-09	7.85E-06
TRINITY_DN39999_c0_g1		-2.963749435	0.002149774	0.019845158
TRINITY_DN32054_c0_g1		-2.958781607	0.00556312	0.037257213
TRINITY_DN46477_c2_g1	ADCY8	-2.958382614	3.00E-05	0.001423601
TRINITY_DN22953_c0_g1		-2.951201215	6.31E-05	0.002195426
TRINITY_DN16810_c0_g2		-2.950776815	0.000161475	0.003798386
TRINITY_DN56311_c0_g1		-2.949693624	0.00053851	0.008104287
TRINITY_DN22972_c0_g1		-2.949474332	0.00336569	0.026620294
TRINITY_DN43477_c0_g1		-2.949010802	0.000651836	0.009120679
TRINITY_DN109347_c0_g1		-2.94801487	0.000193127	0.004272741
TRINITY_DN21444_c0_g1		-2.943691421	0.000150925	0.003634681
TRINITY_DN150942_c0_g1		-2.935265173	0.001120388	0.012919091
TRINITY_DN22783_c0_g1		-2.934820209	0.001326855	0.014424407
TRINITY_DN13239_c4_g1		-2.930884329	0.008320244	0.048333097
TRINITY_DN40669_c0_g1		-2.929751225	0.000699022	0.009570556
TRINITY_DN110921_c0_g1		-2.924561874	0.000117987	0.003139562
TRINITY_DN19949_c0_g1		-2.919588833	0.006520562	0.041202583
TRINITY_DN16538_c1_g1		-2.910227339	0.004051495	0.030130277
TRINITY_DN27379_c0_g1		-2.90814081	3.95E-06	0.000479395
TRINITY_DN11571_c0_g1		-2.907942854	0.001812661	0.017732602
TRINITY_DN27974_c0_g1	nrxn1a	-2.904661523	7.67E-06	0.000665804
TRINITY_DN25514_c0_g1	Batf3 Jdp1	-2.902929185	5.32E-05	0.001996304
TRINITY_DN11194_c4_g1		-2.902182697	2.16E-05	0.001187105
TRINITY_DN23619_c0_g1		-2.897515375	4.29E-07	0.000154123
TRINITY_DN59827_c0_g1		-2.890902984	0.000597018	0.008619276
TRINITY_DN120229_c0_g1		-2.88963161	0.004572301	0.032680919
TRINITY_DN13236_c0_g1		-2.889333713	3.78E-05	0.001615983
TRINITY_DN11861_c0_g2		-2.88879854	0.003463341	0.027115172
TRINITY_DN93554_c0_g1		-2.884809996	8.18E-05	0.002549734
