GeneID	Gene_me	logFC	P_Value	adj_P_Val
TRINITY_DN156292_c0_g1	GPI	-1.545447089	0.005720805	0.037930663
TRINITY_DN11724_c0_g1		-1.545444862	0.000124128	0.003234095
TRINITY_DN4291_c17_g1		-1.545409533	0.007807779	0.046219416
TRINITY_DN33077_c0_g1	METTL27 WBSCR27	-1.54505455	0.007540716	0.045136113
TRINITY_DN60184_c0_g1		-1.544404407	0.007129474	0.043483877
TRINITY_DN13635_c1_g2		-1.544368356	1.51E-06	0.000287325
TRINITY_DN6975_c0_g1	CCDC9	-1.544294423	0.002981981	0.024642851
TRINITY_DN13263_c1_g1		-1.544069427	5.97E-05	0.002119672
TRINITY_DN75263_c0_g1	slc16a12	-1.543633701	0.006292308	0.040271292
TRINITY_DN43209_c0_g1		-1.543525566	5.83E-05	0.002093653
TRINITY_DN155541_c0_g1		-1.542800928	0.000362092	0.006321308
TRINITY_DN32745_c1_g1		-1.541986508	5.69E-06	0.00056381
TRINITY_DN21799_c1_g1		-1.541017683	0.00030998	0.005728728
TRINITY_DN135900_c0_g1		-1.538830107	0.005691776	0.037823479
TRINITY_DN22475_c0_g1	HELLS PASG SMARCA6 Nbla10143	-1.5383641	0.001039976	0.012283309
TRINITY_DN25823_c0_g1		-1.537707549	0.000757336	0.010035191
TRINITY_DN27499_c0_g1		-1.537442811	0.000403399	0.006757753
TRINITY_DN44900_c0_g2		-1.537273605	0.004291868	0.031277168
TRINITY_DN69310_c0_g1		-1.536505184	0.003249727	0.026039303
TRINITY_DN70823_c0_g1	EMB	-1.535479727	4.72E-07	0.000159288
TRINITY_DN24435_c0_g1		-1.534856627	3.01E-05	0.001424066
TRINITY_DN24159_c0_g1		-1.533800506	0.000207506	0.004458272
TRINITY_DN86089_c0_g1	Scn8a Nb1	-1.533765091	0.000324699	0.005917548
TRINITY_DN36190_c0_g1	Son Nrebp	-1.533665762	0.000140505	0.003479559
TRINITY_DN61322_c0_g1		-1.532696471	0.001264907	0.013967359
TRINITY_DN121511_c0_g1		-1.531612027	0.000188517	0.004214531
TRINITY_DN136530_c0_g1		-1.530889199	0.004145421	0.030585766
TRINITY_DN31386_c0_g1		-1.530724605	0.005995367	0.03907557
TRINITY_DN135247_c0_g1		-1.530617032	0.000433383	0.007071882
TRINITY_DN13934_c2_g1		-1.529863963	0.000549262	0.008190255
TRINITY_DN12760_c0_g1		-1.529817282	0.003072731	0.025123808
TRINITY_DN22681_c0_g1		-1.529123307	0.000519171	0.0079292
TRINITY_DN25414_c0_g1	flot1	-1.529119511	0.000128087	0.003295456
TRINITY_DN4403_c1_g1		-1.52743268	0.007772564	0.046081637
TRINITY_DN47631_c0_g1	Ppfia2	-1.526772859	0.000242098	0.004898126
TRINITY_DN23935_c0_g1		-1.526747409	0.000507389	0.007834441
TRINITY_DN98725_c0_g1		-1.526696873	0.003107217	0.0253031
TRINITY_DN54111_c0_g1		-1.52534996	0.000214539	0.004558625
TRINITY_DN36905_c0_g1		-1.525259819	0.007561347	0.045215195
TRINITY_DN24225_c0_g1	KCNMA1 KCNMA	-1.52522376	0.000410595	0.006835642
TRINITY_DN14222_c0_g1		-1.524902026	0.000508877	0.007838471
TRINITY_DN64597_c0_g1	pithd1 zgc:77241	-1.524705545	0.000542514	0.008132841
TRINITY_DN59181_c0_g2		-1.524655482	7.10E-05	0.002359206
TRINITY_DN7363_c0_g2	Ano9 Tmem16j	-1.523880441	0.006211046	0.039916703
TRINITY_DN2313_c1_g1		-1.523285229	0.005610004	0.037437214
TRINITY_DN60238_c0_g1		-1.523262405	0.004264795	0.031153738
TRINITY_DN29242_c0_g1		-1.523176749	0.001174013	0.013299025
TRINITY_DN4325_c1_g1		-1.522300239	0.005254613	0.035943483
TRINITY_DN5835_c0_g1		-1.521611735	0.001825876	0.017808277
TRINITY_DN22496_c1_g1	reep6 zgc:101529	-1.521442615	0.000147	0.003573601
TRINITY_DN2094_c6_g2		-1.520800979	8.19E-06	0.000692056
TRINITY_DN29556_c2_g1		-1.52038848	0.000652618	0.009127481
TRINITY_DN7771_c1_g1		-1.52022537	0.000638664	0.009018111
TRINITY_DN10778_c1_g1		-1.520197708	0.002467613	0.021748524
TRINITY_DN74981_c0_g1		-1.519989193	0.005919374	0.038768511
TRINITY_DN26360_c1_g1	Kcnn2 Sk2	-1.519797057	0.000742431	0.009907849
TRINITY_DN132486_c0_g1		-1.519526997	0.003294619	0.026259992
TRINITY_DN18584_c1_g2	Unc13c	-1.518552246	2.03E-05	0.001140572
TRINITY_DN2791_c0_g2	mcm4-b	-1.518521095	0.000265579	0.005188492
TRINITY_DN5784_c3_g1	NR1D1 EAR1 HREV THRAL	-1.518215683	0.001931818	0.018528405
TRINITY_DN38965_c2_g1		-1.518027215	0.000680203	0.009387833
TRINITY_DN98576_c0_g1		-1.51688137	0.007486897	0.044927202
TRINITY_DN23571_c1_g1		-1.516705855	0.001936299	0.01855698
TRINITY_DN75670_c0_g1		-1.516090606	0.003206578	0.025794656
TRINITY_DN34249_c0_g1		-1.51568277	0.002276594	0.020575987
TRINITY_DN106368_c0_g1		-1.514611068	0.000500286	0.00775977
TRINITY_DN28715_c0_g1		-1.513326553	0.006970613	0.042936496
TRINITY_DN16121_c0_g1		-1.512962584	0.000482959	0.007584378
TRINITY_DN7334_c0_g2		-1.512104538	9.47E-05	0.002766678
TRINITY_DN138639_c0_g1		-1.511952215	0.002825906	0.02377974
TRINITY_DN26927_c0_g1		-1.511473499	0.00242542	0.021477822
TRINITY_DN19255_c0_g1	Polr2a Rpii215 Rpo2-1	-1.510293007	0.001107332	0.012815675
TRINITY_DN17345_c0_g1	kcnma1a	-1.510155003	0.000173941	0.003995732
TRINITY_DN36918_c0_g1		-1.510096668	0.00020091	0.004360608
TRINITY_DN23958_c1_g1		-1.509149586	5.76E-05	0.00208117
TRINITY_DN21091_c0_g1		-1.508678244	0.000830876	0.010622144
TRINITY_DN1644_c0_g2		-1.508545484	0.002789299	0.023616297
TRINITY_DN150976_c0_g1		-1.507619705	0.001080614	0.01259927
TRINITY_DN13054_c0_g1	ZNF618 KIAA1952	-1.507235023	0.000469203	0.007432611
TRINITY_DN20826_c0_g1		-1.506833395	2.74E-05	0.001354811
TRINITY_DN78463_c0_g1	PTPRF	-1.506775199	0.002072643	0.019427466
TRINITY_DN27960_c1_g2		-1.506655815	9.29E-05	0.002734028
TRINITY_DN4681_c8_g2		-1.506227545	6.66E-06	0.000612726
TRINITY_DN1639_c5_g1		-1.506006704	0.000622268	0.008848321
TRINITY_DN65_c0_g3		-1.50590846	0.000336559	0.006034211
TRINITY_DN4842_c5_g1		-1.504981543	0.000271755	0.005257003
TRINITY_DN16586_c0_g1		-1.504606919	3.71E-06	0.000461231
TRINITY_DN5980_c0_g1	Usp7 Hausp	-1.503526459	1.13E-06	0.000236582
TRINITY_DN35879_c0_g1		-1.503506838	0.001368665	0.014749094
TRINITY_DN9684_c1_g1	C3orf33 MSTP052	-1.502795727	5.10E-08	4.63E-05
TRINITY_DN36651_c0_g1		-1.500858278	0.001512201	0.015711827
TRINITY_DN23968_c4_g1		-1.500744438	0.002786546	0.023596396
TRINITY_DN105342_c0_g1	Pole Pole1	-1.500531365	3.52E-06	0.000451161
TRINITY_DN15507_c0_g1	LDLR	-1.500287717	3.84E-06	0.000471359
TRINITY_DN35208_c0_g1		-1.50010371	0.000330068	0.005962854
TRINITY_DN31599_c0_g1		-1.499119798	0.000233339	0.004793985
TRINITY_DN66142_c0_g1		-1.497557262	0.003867111	0.029204727
TRINITY_DN20886_c0_g1	ric1	-1.497080856	3.91E-05	0.001648457
TRINITY_DN29206_c2_g1		-1.496846319	0.001264867	0.013967359
TRINITY_DN12892_c3_g1		-1.496679657	0.001467917	0.015420371
TRINITY_DN35682_c1_g1		-1.496445087	0.006663883	0.041795983
TRINITY_DN18746_c0_g1		-1.496284064	0.004719327	0.033441475
TRINITY_DN8784_c0_g1	Serbp1 Pairbp1 Rda288	-1.495289303	2.62E-05	0.001320198
TRINITY_DN37058_c0_g1		-1.493776922	0.000115418	0.003108071
TRINITY_DN52810_c2_g1		-1.492345729	0.000662562	0.009222689
TRINITY_DN20307_c0_g1		-1.491924288	0.000141472	0.003492837
TRINITY_DN8022_c5_g1		-1.491801345	0.002242503	0.020373043
TRINITY_DN2853_c1_g1		-1.491330075	0.002198597	0.020124361
TRINITY_DN6122_c0_g5		-1.490715278	0.000324452	0.005916006
TRINITY_DN22767_c1_g1		-1.490694951	0.004437263	0.032012168
TRINITY_DN4810_c0_g1	FRMPD3 KIAA1817	-1.490407289	3.68E-06	0.000460337
TRINITY_DN56349_c0_g3		-1.490084332	0.001400598	0.014952301
TRINITY_DN14997_c2_g1		-1.489700972	0.007152226	0.043568991
TRINITY_DN3284_c0_g2		-1.489084923	1.34E-05	0.000896659
TRINITY_DN27563_c1_g1		-1.488192605	0.003859079	0.029170081
TRINITY_DN48733_c0_g3		-1.487086974	0.00329173	0.026250513
TRINITY_DN6911_c1_g1		-1.486847333	0.002145935	0.019830466
TRINITY_DN34506_c0_g1		-1.486763302	0.006588874	0.041503984
TRINITY_DN49766_c0_g1		-1.486737913	0.003265778	0.026125232
TRINITY_DN74062_c0_g1		-1.486510081	0.001881816	0.01819668
TRINITY_DN93609_c0_g1	POLE POLE1	-1.486322367	0.003288587	0.026235615
TRINITY_DN20214_c0_g1		-1.486239553	0.000456663	0.007299517
TRINITY_DN67367_c1_g1		-1.486219425	5.58E-05	0.002042689
TRINITY_DN20197_c0_g1		-1.486085086	0.000136794	0.003423851
TRINITY_DN10598_c1_g1		-1.485848281	0.002943599	0.024440856
TRINITY_DN22623_c0_g1		-1.485561386	0.001776973	0.01747499
TRINITY_DN29316_c0_g1		-1.485130693	0.005088644	0.035170535
TRINITY_DN2961_c2_g1		-1.484792051	6.79E-05	0.002295862
TRINITY_DN55018_c0_g1		-1.484355231	0.002884073	0.024087768
TRINITY_DN28034_c0_g1		-1.483830077	0.008426154	0.048703373
TRINITY_DN8903_c1_g1	0	-1.48334468	0.000439913	0.007131472
TRINITY_DN4689_c2_g1		-1.483330921	0.000303764	0.005663065
TRINITY_DN43479_c0_g1	ric1	-1.48269196	0.00108915	0.012674862
TRINITY_DN86133_c0_g1		-1.482006319	0.006411784	0.040811756
TRINITY_DN44730_c0_g1		-1.481596565	0.005387637	0.036520253
TRINITY_DN34315_c0_g1		-1.481585901	0.004039695	0.030086007
TRINITY_DN154696_c0_g1		-1.480930323	0.002223231	0.020256776
TRINITY_DN29641_c0_g1		-1.480264965	0.006183858	0.03981933
TRINITY_DN31922_c0_g1	0	-1.47927826	0.006715979	0.04193487
TRINITY_DN20639_c0_g1		-1.47872434	1.31E-05	0.000884286
TRINITY_DN31886_c1_g1		-1.476949178	0.000971567	0.011726417
TRINITY_DN39218_c6_g2		-1.476496563	0.007614436	0.045442432
TRINITY_DN91746_c0_g1	dctn2	-1.476495911	0.005906524	0.038704731
TRINITY_DN12696_c0_g1	Nr1d1 Ear1	-1.476042375	0.002563597	0.022276528
TRINITY_DN19388_c0_g2		-1.475541732	0.003449489	0.027049085
TRINITY_DN28923_c0_g2		-1.475308671	0.004194137	0.030794241
TRINITY_DN18393_c0_g1	SVIL	-1.474475934	0.00369142	0.028283633
TRINITY_DN9197_c0_g1	GRIA3 GLUR3	-1.474332666	0.000238966	0.004857426
TRINITY_DN25407_c0_g2		-1.474095883	9.04E-05	0.00269796
TRINITY_DN90500_c0_g1		-1.47390295	0.00032834	0.005945557
TRINITY_DN88613_c0_g1	Klhdc7a	-1.473081177	4.40E-05	0.001778683
TRINITY_DN26218_c0_g2		-1.472948355	2.68E-06	0.000385575
TRINITY_DN33996_c0_g1		-1.472913441	1.00E-04	0.002848059
TRINITY_DN2368_c0_g2		-1.471272843	2.10E-05	0.001165713
TRINITY_DN38324_c0_g5		-1.470712602	0.00085457	0.010828651
TRINITY_DN30253_c0_g2		-1.470357186	0.000769328	0.010122404
TRINITY_DN27916_c0_g1		-1.47027404	0.007799263	0.046186715
TRINITY_DN153362_c0_g1		-1.469866923	0.006562383	0.041399735
TRINITY_DN32550_c0_g1		-1.469306393	0.002350183	0.021022617
TRINITY_DN25669_c0_g1		-1.468791824	0.000489605	0.007645961
TRINITY_DN77502_c0_g1	hapstr1 tapr1	-1.467886172	0.001003989	0.012005703
TRINITY_DN21939_c0_g1		-1.46768675	0.005232076	0.035836961
TRINITY_DN11454_c0_g3		-1.467214294	0.00380127	0.028863796
TRINITY_DN26319_c0_g1		-1.465862762	0.005954668	0.038920662
TRINITY_DN150193_c0_g1		-1.465169574	0.004074632	0.03022953
TRINITY_DN18919_c0_g1		-1.465169463	0.000286298	0.005446183
TRINITY_DN22514_c1_g1		-1.465026564	0.003760201	0.028640054
TRINITY_DN22592_c0_g1	RTTN	-1.464881779	4.53E-06	0.00051674
TRINITY_DN26916_c0_g1		-1.46420715	4.70E-07	0.000159288
TRINITY_DN5540_c0_g1		-1.464129219	8.79E-05	0.002661201
TRINITY_DN4234_c0_g2		-1.463395165	0.007520586	0.045058804
TRINITY_DN150297_c0_g1	rps10	-1.46312226	0.004789822	0.033734856
TRINITY_DN149734_c0_g1	HOMER1	-1.46286963	0.000792196	0.010306483
TRINITY_DN22249_c2_g1		-1.461839904	0.001167284	0.013244846
TRINITY_DN751_c10_g1		-1.460574818	9.01E-05	0.00269796
TRINITY_DN40634_c0_g1		-1.459082282	0.008272113	0.048132907
TRINITY_DN75144_c0_g1		-1.458918351	0.001149635	0.013120004
TRINITY_DN27481_c1_g1		-1.458650539	0.007155615	0.04357875
TRINITY_DN32106_c0_g1		-1.457186752	0.000414762	0.00687018
TRINITY_DN42318_c1_g1	Ralbp1	-1.457157557	0.004348877	0.031574261
TRINITY_DN17238_c0_g2		-1.455742886	0.000470199	0.007440756
TRINITY_DN25763_c0_g1		-1.455693484	0.00520617	0.035718955
TRINITY_DN52933_c0_g1		-1.455543052	0.005126842	0.035343557
TRINITY_DN3390_c0_g2		-1.45490788	0.00030814	0.005715544
TRINITY_DN21166_c0_g1		-1.45445815	0.003145222	0.025515899
TRINITY_DN30620_c0_g1		-1.454281126	0.000688649	0.009480409
TRINITY_DN23327_c2_g1		-1.453760663	0.008291699	0.04821961
TRINITY_DN32375_c0_g1		-1.452784542	0.003003935	0.02475171
TRINITY_DN33203_c0_g1	PRP1	-1.451490555	0.000178269	0.004058913
TRINITY_DN12973_c0_g1		-1.450761176	0.00089494	0.011114389
TRINITY_DN8161_c0_g1		-1.450719511	0.002130578	0.019756562
TRINITY_DN46989_c0_g1	C1orf127	-1.450161402	0.001862212	0.018063195
TRINITY_DN33768_c0_g1		-1.450092266	0.001070306	0.012507575
TRINITY_DN36139_c0_g1		-1.449633167	0.002360847	0.021072219
TRINITY_DN2267_c3_g1	Hmgb1 Hmg-1 Hmg1	-1.449604999	1.03E-07	7.01E-05
TRINITY_DN101808_c0_g1		-1.448719906	0.008208066	0.047885286
TRINITY_DN36598_c2_g1		-1.448716431	0.008559705	0.049180673
TRINITY_DN26454_c3_g1		-1.447801136	0.007335217	0.044296819
TRINITY_DN3676_c0_g2		-1.447744221	0.000931884	0.011419324
TRINITY_DN31882_c0_g1		-1.447159519	0.000472042	0.007461725
TRINITY_DN39559_c0_g1		-1.445916725	0.005675116	0.037749334
TRINITY_DN22410_c0_g1		-1.442925356	1.26E-09	6.99E-06
TRINITY_DN26951_c0_g3		-1.442620541	0.002594168	0.022447435
TRINITY_DN16131_c0_g1		-1.441466182	0.001835191	0.017879354
TRINITY_DN28490_c2_g3		-1.440621505	0.001948255	0.01864333
TRINITY_DN13962_c1_g1		-1.440616641	1.65E-05	0.001011657
TRINITY_DN49109_c0_g3	fkbp1 DDB_G0275227	-1.44045395	0.000609445	0.008737413
TRINITY_DN22515_c2_g1		-1.440068166	0.000650728	0.009115502
TRINITY_DN23386_c0_g1		-1.439348287	0.003287301	0.026228748
TRINITY_DN123635_c0_g1		-1.438900005	0.004904739	0.03429485
TRINITY_DN49212_c0_g1		-1.438734061	0.001161461	0.013203855
TRINITY_DN26240_c0_g2		-1.437733501	8.90E-05	0.00268398
TRINITY_DN16767_c0_g1		-1.436771652	0.001580811	0.016187719
TRINITY_DN9447_c0_g1		-1.436549384	0.000463074	0.007377169
TRINITY_DN1796_c0_g1		-1.435357498	4.85E-09	1.11E-05
TRINITY_DN6383_c0_g1	BMAL2 ARNTL2	-1.435194616	0.00062234	0.008848321
TRINITY_DN123305_c0_g1		-1.434853307	0.000583515	0.008485192
TRINITY_DN17727_c1_g1	ANK3	-1.434481425	0.000157509	0.003742831
TRINITY_DN17009_c0_g1		-1.434295817	0.000497139	0.00773233
TRINITY_DN12438_c0_g1		-1.434267898	6.52E-07	0.000186485
TRINITY_DN32281_c0_g2		-1.433419508	0.000514214	0.007893433
TRINITY_DN25164_c1_g1		-1.432625925	0.000193871	0.004277739
TRINITY_DN11679_c0_g1	Prkg1 Prkg1b Prkgr1a Prkgr1b	-1.43197932	1.16E-05	0.000826596
TRINITY_DN44239_c0_g2	Map2k4 Jnkk1 Mek4 Mkk4 Prkmk4 Sek1 Serk1 Skk1	-1.430591467	0.004915623	0.03435539
TRINITY_DN135105_c0_g1		-1.430262212	0.005690726	0.037820571
TRINITY_DN34993_c1_g1		-1.428936031	0.001116075	0.012878978
TRINITY_DN7887_c0_g1		-1.428856616	3.00E-05	0.001423601
TRINITY_DN22659_c0_g2		-1.428602852	0.003463067	0.027115172
TRINITY_DN69754_c0_g1		-1.428370603	0.001061342	0.012428546
TRINITY_DN8437_c1_g3		-1.427825931	8.79E-07	0.000212149
TRINITY_DN48419_c0_g1	MYLK	-1.427762455	0.002891545	0.02413125
TRINITY_DN36141_c0_g1		-1.4275978	7.92E-06	0.00067941
TRINITY_DN100014_c0_g1	zdhhc14	-1.427168999	0.006508839	0.041162205
TRINITY_DN18841_c2_g1	trappc2l tpc2l	-1.426972436	0.006678603	0.041837312
TRINITY_DN3532_c1_g1		-1.426432194	0.00014565	0.003551964
TRINITY_DN122618_c0_g1		-1.426078474	0.00229741	0.020691436
TRINITY_DN67946_c0_g1		-1.425762593	0.000125488	0.003257087
TRINITY_DN28255_c0_g2		-1.425752843	0.001763692	0.017385773
TRINITY_DN27883_c1_g1		-1.425705276	6.26E-05	0.00218291
TRINITY_DN127916_c0_g1	GRIN2B	-1.424779164	0.005535346	0.037132808
TRINITY_DN94606_c0_g1		-1.423239117	0.004569886	0.032667436
TRINITY_DN35894_c3_g1		-1.423028989	0.001773966	0.017456121
TRINITY_DN14021_c0_g2	slc47a1 mate1 zgc:158231	-1.422235671	1.26E-05	0.000867228
TRINITY_DN29143_c2_g1	UHRF1 ICBP90 NP95 RNF106	-1.421924279	0.000410449	0.006835053
TRINITY_DN10792_c2_g1		-1.421639606	0.004094596	0.030322995
TRINITY_DN26555_c0_g3		-1.420222183	0.000811722	0.010479246
TRINITY_DN24595_c0_g1		-1.419981262	0.007896868	0.046612732
TRINITY_DN13875_c0_g1	Rab28	-1.419622318	0.00038101	0.006505571
TRINITY_DN51292_c0_g1	Slc7a11 sut	-1.419232678	0.006089033	0.039404792
TRINITY_DN38575_c0_g1		-1.418590389	0.00731178	0.044211495
TRINITY_DN66629_c2_g1		-1.417909742	9.88E-05	0.00283276
TRINITY_DN40643_c0_g1	tc1a tca T07D3.8	-1.41790454	0.000565943	0.008338625
TRINITY_DN15977_c0_g1	pif1 AN6895	-1.417010546	0.000135788	0.003411167
TRINITY_DN28128_c0_g2		-1.415220777	0.004851473	0.034045775
TRINITY_DN61420_c2_g1		-1.414644288	0.007465555	0.044834378
TRINITY_DN25883_c0_g1	ELAPOR1 EIG121 KIAA1324 UNQ2426/PRO4985	-1.414309782	0.004767631	0.033648607
TRINITY_DN2278_c1_g2	spire1 si:ch211-215i13.7 zgc:153436	-1.413789818	5.05E-05	0.001936131
TRINITY_DN46050_c0_g2		-1.41316137	0.001060186	0.012419205
TRINITY_DN135608_c0_g1		-1.412672771	0.003820942	0.028963363
TRINITY_DN36669_c0_g2		-1.412562886	0.000226498	0.00471856
TRINITY_DN29751_c0_g1		-1.412319674	0.003867923	0.029204759
TRINITY_DN36189_c1_g1		-1.412297437	4.94E-06	0.000531881
TRINITY_DN15595_c0_g1		-1.412154152	0.001139327	0.013054586
TRINITY_DN74361_c0_g1		-1.41174213	0.00621469	0.03991682
TRINITY_DN46270_c4_g1		-1.411520862	0.000587727	0.008531024
TRINITY_DN44868_c0_g3		-1.410905481	0.002819059	0.023738082
TRINITY_DN64526_c0_g1		-1.410799946	0.003066713	0.025094536
TRINITY_DN136212_c0_g1	Pole Pole1	-1.410617562	0.004820584	0.033890634
TRINITY_DN39580_c0_g3		-1.41045396	0.001542018	0.015909198
TRINITY_DN5208_c0_g1		-1.40951966	8.48E-05	0.002603935
TRINITY_DN23102_c1_g1		-1.409360393	0.000419412	0.006915321
TRINITY_DN35351_c0_g1		-1.408921476	0.006906202	0.04266148
TRINITY_DN10295_c0_g1		-1.408571119	0.000617456	0.008815422
TRINITY_DN20149_c0_g1		-1.408057703	0.000103492	0.002914022
TRINITY_DN25584_c0_g2		-1.408053822	0.003371385	0.026648267
TRINITY_DN151402_c0_g1		-1.407763334	0.004323007	0.031439411
TRINITY_DN8565_c1_g1		-1.406944868	0.000193476	0.00427433
TRINITY_DN123470_c0_g1		-1.406935554	0.000647661	0.009096324
TRINITY_DN14609_c1_g3	Tgs1 Ncoa6ip Pimt	-1.406450637	0.000276799	0.005324097
TRINITY_DN60369_c0_g1		-1.405088854	5.12E-05	0.001949557
TRINITY_DN66372_c0_g1	Ube2a Rad6a	-1.404863942	0.002289358	0.020651076
TRINITY_DN11438_c0_g1	Adarb1 Adar2 Red1	-1.404265425	1.20E-05	0.000843386
TRINITY_DN15707_c0_g1		-1.404199529	0.000610188	0.00874197
TRINITY_DN49399_c0_g1		-1.403901213	0.003412927	0.026866576
TRINITY_DN12844_c1_g1		-1.403540373	0.000173054	0.003981277
TRINITY_DN7258_c3_g2		-1.403405896	0.000449424	0.007232486
TRINITY_DN12070_c0_g1	pip4p2 tmem55a	-1.403249507	3.95E-05	0.0016581
TRINITY_DN6241_c3_g1		-1.401881753	0.005787414	0.03817962
TRINITY_DN31061_c1_g1		-1.401467829	0.003749284	0.028605161
TRINITY_DN35072_c0_g1	ADGRL3 KIAA0768 LEC3 LPHN3	-1.401318905	8.64E-05	0.002629147
TRINITY_DN2289_c1_g2		-1.401309797	0.002296017	0.020684919
TRINITY_DN27730_c0_g1		-1.400684659	0.000129855	0.003321589
TRINITY_DN153400_c0_g1		-1.400380876	0.00022804	0.004740429
TRINITY_DN430_c0_g1	WASHC4 KIAA1033	-1.399310712	0.003638734	0.028020711
TRINITY_DN33516_c0_g1		-1.399048963	0.001623464	0.016479463
TRINITY_DN120721_c0_g1	tbc1d32 bromi si:dkey-233p4.1	-1.398755574	0.004232556	0.030970965
TRINITY_DN7339_c1_g1		-1.398242206	0.000110869	0.003039619
TRINITY_DN23236_c0_g3		-1.398187448	0.000936792	0.011461275
TRINITY_DN4681_c8_g1		-1.398009956	8.41E-07	0.000207331
TRINITY_DN124203_c0_g1		-1.397681227	0.000540414	0.008119095
TRINITY_DN36132_c0_g1		-1.397603357	0.000345601	0.006123433
TRINITY_DN143016_c0_g1		-1.396997389	0.002481047	0.021823363
TRINITY_DN3043_c1_g1		-1.396964163	0.000232174	0.004786748
TRINITY_DN17992_c0_g3		-1.3959698	3.51E-05	0.001556072
TRINITY_DN55967_c0_g1		-1.395580258	0.003008674	0.024770549
TRINITY_DN26453_c0_g1		-1.39550741	0.001009873	0.0120591
TRINITY_DN340_c7_g1		-1.395265211	2.20E-05	0.001201569
TRINITY_DN23905_c0_g1		-1.394121961	8.75E-05	0.002655019
TRINITY_DN969_c4_g1		-1.393218269	0.004889816	0.034213754
TRINITY_DN7230_c1_g1		-1.392625063	0.003341265	0.026491737
TRINITY_DN122581_c0_g1		-1.392602151	0.004217013	0.030911766
TRINITY_DN78368_c0_g1		-1.391726045	0.002825933	0.02377974
TRINITY_DN18339_c3_g1		-1.390877469	0.007413565	0.044616885
TRINITY_DN35073_c0_g1		-1.390725405	0.004000855	0.029897712
TRINITY_DN843_c0_g1		-1.390564317	0.000103044	0.002904374
TRINITY_DN61013_c3_g1		-1.390235886	0.003385356	0.026714246
TRINITY_DN840_c0_g1		-1.389485261	0.00871362	0.049745618
TRINITY_DN18527_c0_g1		-1.388957067	0.000346935	0.006140023
TRINITY_DN31696_c0_g1		-1.388661898	0.000555069	0.008244984
TRINITY_DN135315_c0_g1		-1.388591759	0.004573477	0.032681757
TRINITY_DN9827_c1_g1		-1.38709953	0.005823305	0.038350833
TRINITY_DN17147_c0_g1		-1.38627358	4.40E-05	0.0017787
TRINITY_DN63684_c0_g1		-1.385955203	0.001306801	0.014279301
TRINITY_DN60835_c1_g5		-1.385635235	0.001977913	0.018824322
TRINITY_DN39935_c0_g1	ustA AFLA_094980	-1.385469456	0.001522826	0.015771799
TRINITY_DN14329_c1_g1	SERGEF	-1.385234709	0.007719367	0.045854305
TRINITY_DN16597_c1_g1		-1.383915061	3.93E-05	0.001652921
TRINITY_DN11906_c0_g1	zgc:162928	-1.383080994	0.000113951	0.003087001
TRINITY_DN20525_c0_g1		-1.382979876	6.87E-05	0.002309642
TRINITY_DN22394_c0_g1	CAC1A CACH4 CACN3 CACNL1A4	-1.382487714	2.77E-05	0.001364117
TRINITY_DN27670_c0_g1		-1.381576835	0.000403649	0.006760116
TRINITY_DN17751_c0_g1		-1.38144732	0.005088442	0.035170535
TRINITY_DN6966_c0_g1	CPEB1	-1.38107143	2.56E-08	3.22E-05
TRINITY_DN224_c4_g1		-1.380426882	0.000114477	0.003093542
TRINITY_DN7830_c0_g1	0	-1.379773304	0.000246166	0.00494119
TRINITY_DN150485_c0_g1		-1.379226647	0.002313848	0.020803074
TRINITY_DN26579_c0_g1		-1.378625288	0.000260812	0.005134744
TRINITY_DN20354_c0_g1	acp4 acpt	-1.378220555	2.39E-05	0.001248837
TRINITY_DN30150_c0_g1		-1.376620078	0.005412934	0.036604733
TRINITY_DN25917_c1_g1		-1.374771459	0.00770111	0.045772274
TRINITY_DN17690_c0_g1	Tf2-9 SPBC9B6.02c	-1.374503074	5.26E-05	0.001984687
TRINITY_DN10356_c0_g1	SLC22A5 OCTN2	-1.373712803	0.000396171	0.00667834
TRINITY_DN18086_c0_g1		-1.372589982	1.02E-07	6.99E-05
TRINITY_DN14967_c1_g1	Slc13a2 dc1 Sdct1	-1.372071091	0.001451544	0.015302563
TRINITY_DN7773_c2_g1	MICU3 EFHA2	-1.371740643	9.37E-06	0.000732538
TRINITY_DN16930_c1_g2		-1.370738937	0.000111097	0.003043482
TRINITY_DN9107_c0_g1		-1.369211923	0.00651183	0.04117072
TRINITY_DN44673_c2_g1		-1.368882709	0.002566105	0.022288905
TRINITY_DN47347_c0_g1		-1.368736135	0.002588421	0.022418751
TRINITY_DN21651_c2_g1		-1.36856027	0.000234108	0.004802564
TRINITY_DN26870_c0_g2		-1.367433375	0.007452453	0.044781437
TRINITY_DN24129_c3_g2		-1.365972663	0.00306358	0.02507555
TRINITY_DN54714_c0_g1		-1.365930967	1.82E-05	0.001063405
TRINITY_DN28484_c3_g1		-1.365208885	0.001278326	0.014077772
TRINITY_DN22329_c0_g1	ADAMTS12 UNQ1918/PRO4389	-1.364804086	7.90E-05	0.002511275
TRINITY_DN29807_c0_g1	NME4 NM23D	-1.364406678	0.000559335	0.008277656
TRINITY_DN13709_c0_g1		-1.364357115	0.006075155	0.039342283
TRINITY_DN28126_c0_g1	ric1	-1.363715766	0.000182277	0.004112247
TRINITY_DN130_c1_g1	cadm4 igsf4c	-1.363673403	0.005508186	0.037009738
